#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	FEATURE_TYPE	GENE_MODEL_STATUS	GENUS	NAME	SPECIES	SPECIES_ABBREVIATION	SYMBOL
FBgn0264442	FBgn0264442	CG43860	SO0001217:protein_coding_gene	Current	Drosophila	abrupt	melanogaster	Dmel	ab
FBgn0000014	FBgn0000014	CG10325	SO0001217:protein_coding_gene	Current	Drosophila	abdominal A	melanogaster	Dmel	abd-A
FBgn0000015	FBgn0000015	CG11648	SO0001217:protein_coding_gene	Current	Drosophila	Abdominal B	melanogaster	Dmel	Abd-B
FBgn0000022	FBgn0000022	CG3796	SO0001217:protein_coding_gene	Current	Drosophila	achaete	melanogaster	Dmel	ac
FBgn0033749	FBgn0033749	CG8819	SO0001217:protein_coding_gene	Current	Drosophila	achintya	melanogaster	Dmel	achi
FBgn0000028	FBgn0000028	CG9151	SO0001217:protein_coding_gene	Current	Drosophila	abnormal chemosensory jump 6	melanogaster	Dmel	acj6
FBgn0284249	FBgn0284249	CG15845	SO0001217:protein_coding_gene	Current	Drosophila	Adh transcription factor 1	melanogaster	Dmel	Adf1
FBgn0005694	FBgn0005694	CG5683	SO0001217:protein_coding_gene	Current	Drosophila	Adult enhancer factor 1	melanogaster	Dmel	Aef1
FBgn0000061	FBgn0000061	CG3935	SO0001217:protein_coding_gene	Current	Drosophila	aristaless	melanogaster	Dmel	al
FBgn0003270	FBgn0003270	CG10393	SO0001217:protein_coding_gene	Current	Drosophila	absent MD neurons and olfactory sensilla	melanogaster	Dmel	amos
FBgn0260642	FBgn0260642	CG1028	SO0001217:protein_coding_gene	Current	Drosophila	Antennapedia	melanogaster	Dmel	Antp
FBgn0000097	FBgn0000097	CG3166	SO0001217:protein_coding_gene	Current	Drosophila	anterior open	melanogaster	Dmel	aop
FBgn0267978	FBgn0267978	CG8376	SO0001217:protein_coding_gene	Current	Drosophila	apterous	melanogaster	Dmel	ap
FBgn0015903	FBgn0015903	CG5393	SO0001217:protein_coding_gene	Current	Drosophila	apontic	melanogaster	Dmel	apt
FBgn0015904	FBgn0015904	CG10571	SO0001217:protein_coding_gene	Current	Drosophila	araucan	melanogaster	Dmel	ara
FBgn0035407	FBgn0035407	CG14962	SO0001217:protein_coding_gene	Current	Drosophila	ASCIZ zinc finger protein	melanogaster	Dmel	Asciz
FBgn0000137	FBgn0000137	CG3258	SO0001217:protein_coding_gene	Current	Drosophila	asense	melanogaster	Dmel	ase
FBgn0039946	FBgn0039946	CG17172	SO0001217:protein_coding_gene	Current	Drosophila	(A+T)-stretch binding protein	melanogaster	Dmel	ATbp
FBgn0265193	FBgn0265193	CG44246	SO0001217:protein_coding_gene	Current	Drosophila	Activating transcription factor-2	melanogaster	Dmel	Atf-2
FBgn0028550	FBgn0028550	CG11405	SO0001217:protein_coding_gene	Current	Drosophila	Activating transcription factor 3	melanogaster	Dmel	Atf3
FBgn0033010	FBgn0033010	CG3136	SO0001217:protein_coding_gene	Current	Drosophila	Atf6	melanogaster	Dmel	Atf6
FBgn0010433	FBgn0010433	CG7508	SO0001217:protein_coding_gene	Current	Drosophila	atonal	melanogaster	Dmel	ato
FBgn0013751	FBgn0013751	CG1072	SO0001217:protein_coding_gene	Current	Drosophila	Arrowhead	melanogaster	Dmel	Awh
