FBgn,symbol,name,synonym,verdict_DNA_BD,verdict_TF
FBgn0000011,ab,abrupt,CG4807 ab clu l(2)k02807 ptd,maybe,"(TF, short range)"
FBgn0000014,abd-A,abdominal A,Abd-A AbdA Abda CG10325 Cbxd DmabdA Hab abd A abd-A abd-a abdA abda iab iab-2 iab-3 iab-4 iab-5 iab2 iab3 iab4 l(3)89Ec,YES,(sequence-specific TF)
FBgn0000015,Abd-B,Abdominal B,ABDB Abd B Abd-B Abd-b AbdB AbdB(CA)<down>26</down> AbdB-I AbdB-II AdbB CG10291 CG11648 DROABDB FAB Fab-7 Fab7 MCP Mc Mcp Sab Tab Uab-5<up>Sab</up> abd-B abdB iab iab-5 iab-6 iab-7 iab-8 iab5 iab6 iab7 iab8 iab8.9 iab9 l(3)89Ed pH189 tuh-3 twig,maybe,(sequence-specific TF)
FBgn0000018,abo,abnormal oocyte,CG6093 abo,YES,(sequence-specific TF)
FBgn0000022,ac,achaete,990 E5 F1 AS-C T5 AS-C T5ac ASC Ac CG3796 EG:125H10.3 Hw T5 ac ascT5 sc/T5,YES,(sequence-specific TF)
FBgn0000028,acj6,abnormal chemosensory jump 6,ACJ6 Acj6 CG9151 I-POU Ipou acj6 tI-POU,NO,"(TF, short range)"
FBgn0000054,Adf1,Adh transcription factor 1,Adf 1 Adf-1 Adf1 CG15845 adf1 l(2)01349 l(2)04065 nal,YES,(sequence-specific TF)
FBgn0000057,adp,adipose,CG5124 adp anon-WO0196371.1 anon-WO0196371.27 anon-WO0196371.3,YES,(sequence-specific TF)
FBgn0000061,al,aristaless,A1 AL CG3935 L13-4 al lambda13-4,maybe,"(TF, short range)"
FBgn0000095,Antp,Antennapedia,3.4 ANT-C ANT-P ANTC Ant AntP Antp Antp1 BG:DS07700.1 CG1028 DMANTPE1 DRO15DC96Z DmAntp Hu Ns Scx antp l(3)84Ba,YES,(sequence-specific TF)
FBgn0000097,aop,anterior open,Aop Aop/Yan CG3166 DROYANET DROYANETSB SK2-1 YAN Yan aop aop/yan pok yan yan/pok,maybe,"(TF, short range)"
FBgn0000099,ap,apterous,CG8376 LIM Xa ap blt trw,YES,(sequence-specific TF)
FBgn0000137,ase,asense,AS-C T8 AS-C T8ase AS-T8 ASC Ase CG3258 EG:165H7.2 T1 T1a T8 as-T8 ascT8 ase sc/T8,YES,(sequence-specific TF)
FBgn0000139,ash2,"absent, small, or homeotic discs 2",1124/11 291.8 703 ASH2 CG6677 ash-2 ash2 l(3)112411 l(3)S112411 l(3)SG65 mad,maybe,"(TF, long range)"
FBgn0000157,Dll,Distal-less,2.7 Art Ba BcDNA:LP01770 CG3629 Dll E(Arp) En(Arp) dll l(2)01092 l(2)387,YES,(sequence-specific TF)
FBgn0000166,bcd,bicoid,BG:DS00276.7 Bcd CG1034 bcd bic mum prd4,YES,(sequence-specific TF)
