ID,Name,Species,Class,Family,Logo
MA0010.1,br,Drosophila melanogaster,C2H2 zinc finger factors,Other factors with up to three adjacent zinc fingers,
MA0011.1,br,Drosophila melanogaster,C2H2 zinc finger factors,Other factors with up to three adjacent zinc fingers,
MA0012.1,br,Drosophila melanogaster,C2H2 zinc finger factors,Other factors with up to three adjacent zinc fingers,
MA0013.1,br,Drosophila melanogaster,C2H2 zinc finger factors,Other factors with up to three adjacent zinc fingers,
MA0015.1,Cf2,Drosophila melanogaster,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,
MA0016.1,usp,Drosophila melanogaster,Nuclear receptors with C4 zinc fingers,,
MA0022.1,dl,Drosophila melanogaster,Rel homology region (RHR) factors,,
MA0023.1,dl,Drosophila melanogaster,Rel homology region (RHR) factors,,
MA0026.1,Eip74EF,Drosophila melanogaster,Tryptophan cluster factors,Ets-related factors,
MA0049.1,hb,Drosophila melanogaster,C2H2 zinc finger factors,Factors with multiple dispersed zinc fingers,
MA0085.1,Su(H),Drosophila melanogaster,,,
MA0086.1,sna,Drosophila melanogaster,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,
MA0086.2,sna,Drosophila melanogaster,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,
MA0094.1,Ubx,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0094.2,Ubx,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0126.1,ovo,Drosophila melanogaster,C2H2 zinc finger factors,More than 3 adjacent zinc finger factors,
MA0165.1,Abd-B,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0166.1,Antp,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0167.1,Awh,Drosophila melanogaster,Homeo domain factors,,
MA0168.1,B-H1,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0169.1,B-H2,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0170.1,C15,Drosophila melanogaster,Homeo domain factors,,
MA0171.1,CG11085,Drosophila melanogaster,Homeo domain factors,,
MA0172.1,CG11294,Drosophila melanogaster,Homeo domain factors,,
MA0173.1,CG11617,Drosophila melanogaster,Homeo domain factors,,
MA0174.1,Dbx,Drosophila melanogaster,Homeo domain factors,,
MA0175.1,lms,Drosophila melanogaster,Homeo domain factors,,
MA0176.1,CG15696-RA,Drosophila melanogaster,Homeo domain factors,,
MA0177.1,CG18599,Drosophila melanogaster,Homeo domain factors,,
MA0178.1,CG32105,Drosophila melanogaster,Homeo domain factors,,
MA0179.1,CG32532,Drosophila melanogaster,Homeo domain factors,,
MA0180.1,Vsx2,Drosophila melanogaster,Homeo domain factors,Paired-related HD factors,
MA0181.1,Vsx1,Drosophila melanogaster,Homeo domain factors,Paired-related HD factors,
MA0182.1,CG4328-RA,Drosophila melanogaster,Homeo domain factors,,
MA0183.1,HHEX,Drosophila melanogaster,Homeo domain factors,,
MA0184.1,CG9876,Drosophila melanogaster,Homeo domain factors,,
MA0185.1,Deaf1,Drosophila melanogaster,SAND domain factors,DEAF,
MA0186.1,Dfd,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0187.1,Dll,Drosophila melanogaster,Homeo domain factors,,
MA0188.1,Dr,Drosophila melanogaster,Homeo domain factors,NK-related factors,
MA0189.1,E5,Drosophila melanogaster,Homeo domain factors,,
MA0190.1,Gsc,Drosophila melanogaster,Homeo domain factors,Paired-related HD factors,
MA0191.1,HGTX,Drosophila melanogaster,Homeo domain factors,NK-related factors,
MA0192.1,Hmx,Drosophila melanogaster,Homeo domain factors,NK-related factors,
MA0193.1,schlank,Drosophila melanogaster,Homeo domain factors,,
MA0194.1,Lim1,Drosophila melanogaster,Homeo domain factors,HD-LIM factors,
MA0195.1,Lim3,Drosophila melanogaster,Homeo domain factors,HD-LIM factors,
MA0196.1,NK7.1,Drosophila melanogaster,Homeo domain factors,NK-related factors,
MA0197.1,nub,Drosophila melanogaster,Homeo domain factors,POU domain factors,
MA0197.2,nub,Drosophila melanogaster,Homeo domain factors,POU domain factors,
MA0198.1,OdsH,Drosophila melanogaster,Homeo domain factors,Paired-related HD factors,
MA0199.1,Optix,Drosophila melanogaster,Homeo domain factors,HD-SINE factors,
MA0200.1,Pph13,Drosophila melanogaster,Homeo domain factors,,
MA0201.1,Ptx1,Drosophila melanogaster,Homeo domain factors,Paired-related HD factors,
MA0202.1,Rx,Drosophila melanogaster,Homeo domain factors,Paired-related HD factors,
MA0203.1,Scr,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0204.1,Six4,Drosophila melanogaster,Homeo domain factors,HD-SINE factors,
MA0205.1,Trl,Drosophila melanogaster,C2H2 zinc finger factors,,
MA0205.2,Trl,Drosophila melanogaster,C2H2 zinc finger factors,,
MA0206.1,abd-A,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0207.1,achi,Drosophila melanogaster,Homeo domain factors,,
MA0208.1,al,Drosophila melanogaster,Homeo domain factors,Paired-related HD factors,
MA0209.1,ap,Drosophila melanogaster,Homeo domain factors,,
MA0210.1,ara,Drosophila melanogaster,Homeo domain factors,TALE-type homeo domain factors,
MA0211.1,bap,Drosophila melanogaster,Homeo domain factors,NK-related factors,
MA0212.1,bcd,Drosophila melanogaster,Homeo domain factors,Paired-related HD factors,
MA0213.1,brk,Drosophila melanogaster,,,
MA0214.1,bsh,Drosophila melanogaster,Homeo domain factors,NK-related factors,
MA0215.1,btn,Drosophila melanogaster,Homeo domain factors,,
MA0216.1,cad,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0216.2,cad,Drosophila melanogaster,Homeo domain factors,HOX-related factors,
MA0217.1,caup,Drosophila melanogaster,Homeo domain factors,TALE-type homeo domain factors,
MA0218.1,ct,Drosophila melanogaster,Homeo domain factors,HD-CUT factors,
MA0219.1,ems,Drosophila melanogaster,Homeo domain factors,NK-related factors,
MA0220.1,en,Drosophila melanogaster,Homeo domain factors,NK-related factors,
