FBgn,Symbol,CG
FBgn0024244,drm,CG10016
FBgn0010228,HmgZ,CG17921
FBgn0036126,CG6272,CG6272
FBgn0032202,CG18619,CG18619
FBgn0034534,maf-S,CG9954
FBgn0051460,CG31460,CG31460
FBgn0036661,CG9705,CG9705
FBgn0030899,Her,CG5927
FBgn0004586,grh,CG5058
FBgn0033459,CG12744,CG12744
FBgn0011277,HLH4C,CG3052
FBgn0002734,HLHm&dgr,CG8328
FBgn0002631,HLHm5,CG6096
FBgn0038833,CG15696,CG15696
FBgn0030009,CG15336,CG15336
FBgn0002633,HLHm7,CG8361
FBgn0024249,cato,CG7760
FBgn0003411,sisA,CG1641
FBgn0010460,bun,CG5461
FBgn0011656,Mef2,CG1429
FBgn0002733,HLHm&bgr,CG14548
FBgn0037937,Fer3,CG6913
FBgn0003270,amos,CG10393
FBgn0000575,emc,CG1007
FBgn0000022,ac,CG3796
FBgn0002735,HLHm&ggr,CG8333
FBgn0013753,Bgb,CG7959
FBgn0039808,CG12071,CG12071
FBgn0002609,HLHm3,CG8346
FBgn0032651,Oli,CG5545
FBgn0030455,CG4318,CG4318
FBgn0022740,HLH54F,CG5005
FBgn0037475,Fer1,CG33323
FBgn0037634,CG8359,CG8359
FBgn0039509,bigmax,CG3350
FBgn0004198,ct,CG11387
FBgn0002561,l(1)sc,CG3839
FBgn0005658,Ets65A,CG7018
FBgn0038805,TFAM,CG4217
FBgn0037317,CG14667,CG14667
FBgn0025360,Optix,CG18455
FBgn0030058,CG11294,CG11294
FBgn0034120,CG15710,CG15710
FBgn0001235,hth,CG17117
FBgn0037672,sage,CG12952
FBgn0016694,Pdp1,CG17888
FBgn0004898,fd96Cb,CG11922
FBgn0015524,otp,CG10036
FBgn0033934,CG17385,CG17385
FBgn0003651,svp,CG11502
FBgn0015602,BEAF-32,CG10159
FBgn0038626,CG7691,CG7691
FBgn0014467,CrebB-17A,CG6103
FBgn0001291,Jra,CG2275
FBgn0031232,CG11617,CG11617
FBgn0030408,CG11085,CG11085
FBgn0000095,Antp,CG1028
FBgn0001204,hkb,CG9768
FBgn0000370,crc,CG8669
FBgn0021872,Xbp1,CG9415
FBgn0005694,Aef1,CG5683
FBgn0039712,CG15514,CG15514
FBgn0025679,Bteb2,CG2932
FBgn0038766,CG4854,CG4854
FBgn0034650,NC2&agr,CG10318
FBgn0003430,slp1,CG16738
FBgn0038472,CG3995,CG3995
FBgn0032150,CG13123,CG13123
FBgn0040366,CG11398,CG11398
FBgn0000014,abd-A,CG10325
FBgn0001168,h,CG6494
FBgn0036396,CG17359,CG17359
FBgn0053213,CG33213,CG33213
FBgn0051441,CG31441,CG31441
FBgn0038550,CG17801,CG17801
FBgn0038765,CG4424,CG4424
FBgn0004170,sc,CG3827
FBgn0031610,CG15436,CG15436
FBgn0029711,Usf,CG17592
FBgn0040465,Dip3,CG12767
FBgn0003267,ro,CG6348
FBgn0031391,CG11723,CG11723
FBgn0032321,YL-1,CG4621
FBgn0004053,zen,CG1046
FBgn0003511,Sry-&bgr,CG7938
FBgn0032600,CG17912,CG17912
FBgn0033182,CG1621,CG1621
FBgn0061173,fd3F,CG12632
FBgn0037617,CG8145,CG8145
FBgn0003129,Poxm,CG9610
FBgn0024371,E2f2,CG1071
FBgn0004897,fd96Ca,CG11921
