gene,SYMBOL,pathway,Notes
FBgn0000173,ben,IMD,Core pathway genes only
FBgn0000229,bsk,IMD,Core pathway genes only
FBgn0001291,Jra,IMD,Core pathway genes only
FBgn0001297,kay,IMD,Core pathway genes only
FBgn0010303,hep,IMD,Core pathway genes only
FBgn0011217,eff,IMD,Core pathway genes only
FBgn0013983,imd,IMD,Core pathway genes only
FBgn0014018,Rel,IMD,Core pathway genes only
FBgn0015247,Diap2,IMD,Core pathway genes only
FBgn0020381,Dredd,IMD,Core pathway genes only
FBgn0024222,IKKbeta,IMD,Core pathway genes only
FBgn0026323,Tak1,IMD,Core pathway genes only
FBgn0030695,PGRP-LE,IMD,Core pathway genes only
FBgn0035601,Uev1A,IMD,Core pathway genes only
FBgn0035976,PGRP-LC,IMD,Core pathway genes only
FBgn0038197,foxo,IMD,Core pathway genes only
FBgn0038928,Fadd,IMD,Core pathway genes only
FBgn0041205,key,IMD,Core pathway genes only
FBgn0086358,Tab2,IMD,Core pathway genes only
FBgn0000490,dpp,BMP,Core pathway genes only
FBgn0003169,put,BMP,Core pathway genes only
FBgn0003317,sax,BMP,Core pathway genes only
FBgn0003396,shn,BMP,Core pathway genes only
FBgn0003716,tkv,BMP,Core pathway genes only
FBgn0005590,scw,BMP,Core pathway genes only
FBgn0011648,Mad,BMP,Core pathway genes only
FBgn0024179,wit,BMP,Core pathway genes only
FBgn0024234,gbb,BMP,Core pathway genes only
FBgn0039914,mav,BMP,Core pathway genes only
FBgn0288966,Med,BMP,Core pathway genes only
FBgn0001990,wek,TOLL-NF-kappaB,Core pathway genes only
FBgn0003495,spz,TOLL-NF-kappaB,Core pathway genes only
FBgn0003882,tub,TOLL-NF-kappaB,Core pathway genes only
FBgn0010441,pll,TOLL-NF-kappaB,Core pathway genes only
FBgn0011274,Dif,TOLL-NF-kappaB,Core pathway genes only
FBgn0026760,Tehao,TOLL-NF-kappaB,Core pathway genes only
FBgn0033402,Myd88,TOLL-NF-kappaB,Core pathway genes only
FBgn0034476,Toll-7,TOLL-NF-kappaB,Core pathway genes only
FBgn0035379,spz5,TOLL-NF-kappaB,Core pathway genes only
FBgn0260632,dl,TOLL-NF-kappaB,Core pathway genes only
FBgn0261526,NT1,TOLL-NF-kappaB,Core pathway genes only
FBgn0262473,Tl,TOLL-NF-kappaB,Core pathway genes only
FBgn0000117,arm,WNT-TCF,Core pathway genes only
FBgn0000119,arr,WNT-TCF,Core pathway genes only
FBgn0000499,dsh,WNT-TCF,Core pathway genes only
FBgn0001085,fz,WNT-TCF,Core pathway genes only
FBgn0004360,Wnt2,WNT-TCF,Core pathway genes only
FBgn0016797,fz2,WNT-TCF,Core pathway genes only
FBgn0031902,Wnt6,WNT-TCF,Core pathway genes only
FBgn0039907,lgs,WNT-TCF,Core pathway genes only
FBgn0043900,pygo,WNT-TCF,Core pathway genes only
FBgn0085432,pan,WNT-TCF,Core pathway genes only
FBgn0284084,wg,WNT-TCF,Core pathway genes only
FBgn0000229,bsk,TNFalpha-EIGER,Core pathway genes only
FBgn0010303,hep,TNFalpha-EIGER,Core pathway genes only
FBgn0010909,msn,TNFalpha-EIGER,Core pathway genes only
FBgn0024326,Mkk4,TNFalpha-EIGER,Core pathway genes only
FBgn0026323,Tak1,TNFalpha-EIGER,Core pathway genes only
FBgn0030941,wgn,TNFalpha-EIGER,Core pathway genes only
FBgn0032682,grnd,TNFalpha-EIGER,Core pathway genes only
FBgn0033483,egr,TNFalpha-EIGER,Core pathway genes only
FBgn0039734,Tace,TNFalpha-EIGER,Core pathway genes only
FBgn0086358,Tab2,TNFalpha-EIGER,Core pathway genes only
FBgn0261524,lic,TNFalpha-EIGER,Core pathway genes only
FBgn0265464,Traf6,TNFalpha-EIGER,Core pathway genes only
FBgn0000659,fkh,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0003256,rl,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0004507,Glyp,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0004638,drk,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0010269,Dsor1,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0010379,Akt,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0015279,Pi3K92E,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0020386,Pdk1,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0020622,Pi3K21B,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0021796,mTor,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0024248,chico,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0025625,Sik2,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0028717,Lnk,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0029840,raptor,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0036046,Ilp2,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0038197,foxo,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0041191,Rheb,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0041210,HDAC4,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0044047,Ilp6,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0044048,Ilp5,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0044050,Ilp3,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0261560,Thor,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0262103,Sik3,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0262656,Myc,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0264075,tgo,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0266411,sima,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0283472,S6k,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0283499,InR,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0286070,cnk,INSULIN-LIKE RECEPTOR,Core pathway genes only
FBgn0000166,bcd,TORSO,Core pathway genes only
FBgn0000382,csw,TORSO,Core pathway genes only
FBgn0001139,gro,TORSO,Core pathway genes only
FBgn0001965,Sos,TORSO,Core pathway genes only
FBgn0003079,Raf,TORSO,Core pathway genes only
FBgn0003205,Ras85D,TORSO,Core pathway genes only
FBgn0003256,rl,TORSO,Core pathway genes only
FBgn0003733,tor,TORSO,Core pathway genes only
FBgn0003751,trk,TORSO,Core pathway genes only
FBgn0003867,tsl,TORSO,Core pathway genes only
FBgn0004636,Rap1,TORSO,Core pathway genes only
FBgn0004638,drk,TORSO,Core pathway genes only
FBgn0004650,fs(1)N,TORSO,Core pathway genes only
FBgn0005390,fs(1)M3,TORSO,Core pathway genes only
FBgn0010269,Dsor1,TORSO,Core pathway genes only
FBgn0013323,Ptth,TORSO,Core pathway genes only
FBgn0015296,Shc,TORSO,Core pathway genes only
FBgn0015402,ksr,TORSO,Core pathway genes only
FBgn0016794,dos,TORSO,Core pathway genes only
FBgn0261016,clos,TORSO,Core pathway genes only
FBgn0262582,cic,TORSO,Core pathway genes only
FBgn0286070,cnk,TORSO,Core pathway genes only
FBgn0000352,cos,HEDGEHOG,Core pathway genes only
FBgn0001079,fu,HEDGEHOG,Core pathway genes only
FBgn0003444,smo,HEDGEHOG,Core pathway genes only
FBgn0004644,hh,HEDGEHOG,Core pathway genes only
FBgn0004859,ci,HEDGEHOG,Core pathway genes only
FBgn0031872,ihog,HEDGEHOG,Core pathway genes only
FBgn0040388,boi,HEDGEHOG,Core pathway genes only
FBgn0003169,put,ACTIVIN,Core pathway genes only
FBgn0011300,babo,ACTIVIN,Core pathway genes only
FBgn0024179,wit,ACTIVIN,Core pathway genes only
FBgn0024913,Actbeta,ACTIVIN,Core pathway genes only
FBgn0025800,Smox,ACTIVIN,Core pathway genes only
FBgn0026199,myo,ACTIVIN,Core pathway genes only
FBgn0031461,daw,ACTIVIN,Core pathway genes only
FBgn0288966,Med,ACTIVIN,Core pathway genes only
FBgn0000097,aop,PVR,Core pathway genes only
FBgn0000229,bsk,PVR,Core pathway genes only
FBgn0001965,Sos,PVR,Core pathway genes only
FBgn0003079,Raf,PVR,Core pathway genes only
FBgn0003205,Ras85D,PVR,Core pathway genes only
FBgn0003256,rl,PVR,Core pathway genes only
FBgn0004638,drk,PVR,Core pathway genes only
FBgn0010269,Dsor1,PVR,Core pathway genes only
FBgn0010303,hep,PVR,Core pathway genes only
FBgn0010333,Rac1,PVR,Core pathway genes only
FBgn0010341,Cdc42,PVR,Core pathway genes only
FBgn0010379,Akt,PVR,Core pathway genes only
FBgn0015279,Pi3K92E,PVR,Core pathway genes only
FBgn0015296,Shc,PVR,Core pathway genes only
FBgn0015402,ksr,PVR,Core pathway genes only
FBgn0015513,mbc,PVR,Core pathway genes only
FBgn0021796,mTor,PVR,Core pathway genes only
FBgn0024811,Crk,PVR,Core pathway genes only
FBgn0028717,Lnk,PVR,Core pathway genes only
FBgn0030018,slpr,PVR,Core pathway genes only
FBgn0030869,Socs16D,PVR,Core pathway genes only
FBgn0030964,Pvf1,PVR,Core pathway genes only
FBgn0031888,Pvf2,PVR,Core pathway genes only
FBgn0032006,Pvr,PVR,Core pathway genes only
FBgn0032409,Ced-12,PVR,Core pathway genes only
FBgn0040068,Vav,PVR,Core pathway genes only
FBgn0041191,Rheb,PVR,Core pathway genes only
FBgn0052406,PVRAP,PVR,Core pathway genes only
FBgn0085407,Pvf3,PVR,Core pathway genes only
FBgn0261524,lic,PVR,Core pathway genes only
FBgn0261560,Thor,PVR,Core pathway genes only
FBgn0283472,S6k,PVR,Core pathway genes only
FBgn0290416,mask,PVR,Core pathway genes only
FBgn0000097,aop,SEVENLESS,Core pathway genes only
FBgn0000206,boss,SEVENLESS,Core pathway genes only
FBgn0000382,csw,SEVENLESS,Core pathway genes only
FBgn0001965,Sos,SEVENLESS,Core pathway genes only
FBgn0003079,Raf,SEVENLESS,Core pathway genes only
FBgn0003118,pnt,SEVENLESS,Core pathway genes only
FBgn0003205,Ras85D,SEVENLESS,Core pathway genes only
FBgn0003256,rl,SEVENLESS,Core pathway genes only
FBgn0003366,sev,SEVENLESS,Core pathway genes only
FBgn0003410,sina,SEVENLESS,Core pathway genes only
FBgn0003870,ttk,SEVENLESS,Core pathway genes only
FBgn0004638,drk,SEVENLESS,Core pathway genes only
FBgn0010269,Dsor1,SEVENLESS,Core pathway genes only
FBgn0013725,phyl,SEVENLESS,Core pathway genes only
FBgn0015402,ksr,SEVENLESS,Core pathway genes only
FBgn0016794,dos,SEVENLESS,Core pathway genes only
FBgn0286070,cnk,SEVENLESS,Core pathway genes only
FBgn0000097,aop,FGFR,Core pathway genes only
FBgn0000382,csw,FGFR,Core pathway genes only
FBgn0001139,gro,FGFR,Core pathway genes only
FBgn0001965,Sos,FGFR,Core pathway genes only
FBgn0003041,pbl,FGFR,Core pathway genes only
FBgn0003079,Raf,FGFR,Core pathway genes only
FBgn0003118,pnt,FGFR,Core pathway genes only
FBgn0003205,Ras85D,FGFR,Core pathway genes only
FBgn0003256,rl,FGFR,Core pathway genes only
FBgn0004638,drk,FGFR,Core pathway genes only
FBgn0010269,Dsor1,FGFR,Core pathway genes only
FBgn0010389,htl,FGFR,Core pathway genes only
FBgn0014135,bnl,FGFR,Core pathway genes only
FBgn0015296,Shc,FGFR,Core pathway genes only
FBgn0015402,ksr,FGFR,Core pathway genes only
FBgn0020299,stumps,FGFR,Core pathway genes only
FBgn0030096,Zpr1,FGFR,Core pathway genes only
FBgn0033649,pyr,FGFR,Core pathway genes only
FBgn0033652,ths,FGFR,Core pathway genes only
FBgn0259211,grh,FGFR,Core pathway genes only
FBgn0285896,btl,FGFR,Core pathway genes only
FBgn0286070,cnk,FGFR,Core pathway genes only
FBgn0000097,aop,EGFR,Core pathway genes only
FBgn0000382,csw,EGFR,Core pathway genes only
FBgn0001137,grk,EGFR,Core pathway genes only
FBgn0001139,gro,EGFR,Core pathway genes only
FBgn0001965,Sos,EGFR,Core pathway genes only
FBgn0003079,Raf,EGFR,Core pathway genes only
FBgn0003118,pnt,EGFR,Core pathway genes only
FBgn0003205,Ras85D,EGFR,Core pathway genes only
FBgn0003256,rl,EGFR,Core pathway genes only
FBgn0003731,Egfr,EGFR,Core pathway genes only
FBgn0003870,ttk,EGFR,Core pathway genes only
FBgn0003984,vn,EGFR,Core pathway genes only
FBgn0004638,drk,EGFR,Core pathway genes only
FBgn0005672,spi,EGFR,Core pathway genes only
FBgn0010269,Dsor1,EGFR,Core pathway genes only
FBgn0013725,phyl,EGFR,Core pathway genes only
FBgn0015296,Shc,EGFR,Core pathway genes only
FBgn0015402,ksr,EGFR,Core pathway genes only
FBgn0030096,Zpr1,EGFR,Core pathway genes only
FBgn0040068,Vav,EGFR,Core pathway genes only
FBgn0050476,ave,EGFR,Core pathway genes only
FBgn0052179,Krn,EGFR,Core pathway genes only
FBgn0262582,cic,EGFR,Core pathway genes only
FBgn0263933,ebi,EGFR,Core pathway genes only
FBgn0286070,cnk,EGFR,Core pathway genes only
FBgn0011739,wts,HIPPO,Core pathway genes only
FBgn0034646,Rae1,HIPPO,Core pathway genes only
FBgn0034970,yki,HIPPO,Core pathway genes only
FBgn0038965,mats,HIPPO,Core pathway genes only
FBgn0053193,sav,HIPPO,Core pathway genes only
FBgn0261456,hpo,HIPPO,Core pathway genes only
FBgn0000463,Delta,NOTCH,Core pathway genes only
FBgn0002643,mam,NOTCH,Core pathway genes only
FBgn0004197,Ser,NOTCH,Core pathway genes only
FBgn0004647,N,NOTCH,Core pathway genes only
FBgn0004837,Su(H),NOTCH,Core pathway genes only
FBgn0031458,aph-1,NOTCH,Core pathway genes only
FBgn0039234,Nct,NOTCH,Core pathway genes only
FBgn0039734,Tace,NOTCH,Core pathway genes only
FBgn0051665,wry,NOTCH,Core pathway genes only
FBgn0053198,pen-2,NOTCH,Core pathway genes only
FBgn0259984,kuz,NOTCH,Core pathway genes only
FBgn0284421,Psn,NOTCH,Core pathway genes only
FBgn0004864,hop,JAK-STAT,Core pathway genes only
FBgn0004956,upd1,JAK-STAT,Core pathway genes only
FBgn0016917,Stat92E,JAK-STAT,Core pathway genes only
FBgn0030904,upd2,JAK-STAT,Core pathway genes only
FBgn0043903,dome,JAK-STAT,Core pathway genes only
FBgn0053542,upd3,JAK-STAT,Core pathway genes only
FBgn0262579,Sarm,JAK-STAT,Core pathway genes only
FBgn0014018,Rel,CGAS-STING,Core pathway genes only
FBgn0024222,IKKbeta,CGAS-STING,Core pathway genes only
FBgn0033453,Sting,CGAS-STING,Core pathway genes only
FBgn0034047,cGlr1,CGAS-STING,Core pathway genes only
FBgn0050424,cGlr2,CGAS-STING,Core pathway genes only
