gene_names,Hox_8,Hox_2,Hox_3,Hox_7,Hox_5,Hox_6,Hox_10,Hox_9,Hox_1,Hox_4,No_hox_7,No_hox_8,No_hox_9,No_hox_2,No_hox_3,No_hox_4,No_hox_10,No_hox_6,No_hox_1,No_hox_5
TC002563,6.02215917137515,5.517372929344551,1.6334887489283012,3.1142752754471004,2.5290174284133307,1.783074609079728,3.0006548455320305,2.187240733565041,4.384045374340799,2.8308525600388426,2.260037582839394,2.257895443181716,1.1623013069195414,2.7535970206521,2.0025142380742684,2.2631440216460366,1.1769949690106976,3.8258964823265074,2.66570274828471,1.6590254300860556
TC012888,1.8395560033423277,2.6861707523916336,2.912501946668649,2.8073261947839234,2.069985282568676,2.844550930420185,3.0694982258449843,2.7689715763770555,2.711535193984577,2.4544425171770428,1.66614421667106,2.771660096376308,2.4837738188296155,2.6100067700914114,1.662366462833981,1.6689575493934654,1.7027859454668932,2.002905761028916,1.1723815205407382,1.1401041028298804
Thor,2.767496462918504,2.622033314941236,2.7507888109813137,3.02945050548529,2.8689946404581397,3.09747409738849,3.3228095084874423,2.9220369897208065,2.933838981985131,3.02074491125922,2.0065464682722505,2.004476407045224,2.652093169115007,2.6100067700914114,2.769534087314214,1.6689575493934654,2.816142923294055,3.107654934409267,1.1723815205407382,1.1401041028298804
TC031366,4.299577433277593,4.424943406540845,4.5331538227527,4.378814616549561,4.49575973614618,4.520324587065848,4.323932731685278,4.568159532912726,4.323835132080857,4.510817547005309,4.146778993309521,3.873202801885504,3.8987395778906997,4.365575995187469,4.382373744476404,3.9642282101816044,4.376528152367293,4.072354942912077,3.148313876349847,3.9922628725406177
TC032020,2.449925764051138,2.4799190694097577,2.557782805377764,2.7207777657825893,2.894858492136233,2.64226890405972,3.0006548455320305,2.6826502107805936,2.742179661106598,2.4544425171770428,0.0,1.664204678111126,2.0270750710205108,1.1313560308035928,2.0025142380742684,2.2631440216460366,2.5033232625550084,2.25627000499111,2.66570274828471,2.89130194183645
en,3.8943668191351803,3.8013415178858687,3.6984645585812075,3.7849668654044764,4.03242752439871,3.6580494729599073,4.049018476939255,3.942356193168226,3.80734552479547,3.7842601230551964,3.1116746532680453,3.284245000526454,3.646853784072521,2.879134254410108,3.2820620299269514,3.4386996662804363,3.7761478018738774,3.7781956688218337,3.6020898813653224,3.493667420368431
Osi3,5.185042409829487,5.324077198772494,4.810715688811644,5.490037413582377,5.354277371414137,5.574812098893807,5.5744595269624515,5.0920780560421885,4.858854825101954,4.980353994887152,4.359922171172806,5.209281334864904,4.968586008085215,4.92355638722944,4.89353890712751,4.647838720110859,4.45777347478114,4.660659604699073,4.682357138387251,5.0099455371322525
ect,5.176924997310172,5.191241684769416,5.15177598428512,5.447575098297746,5.188478952446521,5.5917265918402395,5.495336285061007,5.004643177324251,4.939139378806151,5.067808106736194,4.779311948730466,5.161349102812256,4.889122546993828,4.997144708787054,4.756498301095804,4.668262431259715,4.668113446386095,4.619389389859488,5.042441256865344,4.806021923534612
Osi7,5.776024340761161,5.762895816265101,5.63933786123227,6.197086130224823,5.674614616179422,5.985821089733573,6.221177783249205,5.619216648321714,5.070935625475784,5.409644649562615,5.100387860948431,5.098010451420539,5.199475475620991,5.473462644953881,5.436076337881232,4.933122346194213,5.232725379220096,5.0001999519108224,5.559304925459131,5.323990050936646
Osi8,6.302205528190951,6.109265506004302,6.149718203849881,6.642975877227082,6.152803867978099,6.499707735199411,6.707380673912371,6.145057621446862,5.62024854658472,5.9735667199643485,5.373360984170726,5.939934891051876,5.943140300993922,6.114719888857343,6.049510277195049,5.43481987024394,5.702224756811607,5.338857947126812,6.202045883974049,5.641113824339412
