gene_names,Hox_7,Hox_9,Hox_10,Hox_4,Hox_6,Hox_2,Hox_3,Hox_5,Hox_1,Hox_8,No_hox_3,No_hox_2,No_hox_10,No_hox_6,No_hox_4,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_9
Ptx1,4.929505879733517,5.084466454388778,5.068790348583537,5.004561959745725,5.072347263301655,5.177236643554968,5.007179563373113,5.093426908484758,5.04229540630338,5.0786657686462595,4.778061423756647,4.86211850777251,4.654193836188508,5.197397524723009,4.614266127758969,4.771239735627126,4.730918768878412,5.340908483888972,4.455517376051818,4.830927032101018
Lim3,5.614053796485781,5.447060758348023,5.447189633059964,5.292931958500819,5.423691176989631,5.396714599747332,5.443958005743365,5.422832147939898,5.325455924280964,5.2977077938904795,5.114854239319316,5.2164705312761575,5.30957787852631,5.027281178029041,4.82268038932731,5.442201804650012,5.00641043162963,5.597155657949583,4.99425040619376,5.133319507050578
yps,8.759462510616936,8.779122849880615,8.760193314935485,8.719741507746114,8.784343410457353,8.784846293285725,8.81678619953612,8.779379881422656,8.82905697848516,8.766597736551239,8.73387904992478,8.782591568260521,8.726738049539618,8.673089590356918,8.783745703091071,8.715857046832875,8.684185921365133,8.739272972088735,8.71019482265983,8.757553984068668
TC008064,5.5052111875428595,5.301341163823155,5.4295322637430425,5.288194039677884,5.571433065886132,5.202223544617297,5.517185608169034,5.3873862981124265,5.3576662244193765,5.405994742453911,5.167888126999626,5.535453421543208,5.191014989976933,4.929975487412561,5.037337929664259,5.197276360731817,5.222167762497223,5.201865010710629,4.978100974217644,5.239332743151736
tara,6.274062592930972,6.299080295553995,6.271198083191513,6.259289177778907,6.270483795080045,6.276303390546753,6.21574227006937,6.260537978109016,6.23267548695114,6.241271855701277,6.078160224954608,6.347761435542508,6.220652541514983,6.152083545355755,6.034671460741032,6.114872708271318,6.182743204989855,6.089585354080206,6.155744494248508,6.311715437192207
Atf3,4.278949403883242,4.129397579167248,4.111416689847248,4.26997553730202,4.152564960976292,4.223163384995554,3.8555847391442635,4.1891172902374345,3.9957730778559903,4.101565780393211,3.618157182899745,4.025079949394214,3.9269285017811373,3.6733724448598504,3.6146679973251694,3.84993537122184,4.225954841935571,4.162216913718173,4.055842626093447,3.812247193971211
TC004054,4.1793263730595385,4.2956450847524295,4.050429360479764,4.222869079038245,4.194768698033395,4.119429570042498,4.247377471044277,4.196127236903068,4.148473502991689,4.055113224220165,3.83591986776894,4.387293572170053,4.198414369612638,3.9016835274203707,3.9516241066785573,3.177846021787673,3.921099076051755,4.050755243928816,3.9704046360455303,3.185510409696692
TC005946,4.381022371758414,4.572200369583856,4.447433583837029,4.339788851121118,4.353642338656685,4.189766954707363,4.411718740300337,4.469465332250859,4.435748697020284,4.584196879118364,4.386243411691518,4.335321739198444,4.325803911838118,3.980170574735233,3.4930885403830776,3.706686439796706,4.0465512988937515,4.262491407170988,4.055842626093447,4.058638755115935
TC009296,5.628913104663525,5.622506287454346,5.615076471649747,5.681613416055235,5.5696929926683545,5.650179943206013,5.627890452287137,5.5954944716777835,5.650496464555734,5.7397143130565595,5.567130709309223,5.590158386403338,5.631758291656105,5.426123562752783,5.449813893270167,5.486465291276852,5.601230183665607,5.685252778640822,5.499143803620955,5.431894089973877
kay,5.407894534561106,5.429472712408492,5.385009911665286,5.350336254637244,5.252667609896072,5.359460988608111,5.29318779956118,5.352837193097075,5.458105873168705,5.486797054273788,5.334065429464337,5.331190203807988,5.4452840041338515,5.040440129838778,5.166599158485478,5.047890773445489,5.28104649269432,5.443622853311183,5.15655377905694,5.0558359826344885
kn,7.318389151537426,7.2509752563414995,7.054734806832655,7.158461123006421,7.108136356535647,7.227275390512249,7.145528110962821,7.265258937524678,7.177160200314298,7.056551588559185,7.11444943178929,7.309035025283995,7.198549200268136,6.626119457480593,6.965703868667857,6.960907052452119,6.9784869233754225,6.948675284924818,6.906323404037782,6.692040591021155
slou,4.46841796659927,4.360863272637794,4.32383036723525,4.393492369925879,4.194768698033395,4.317140656827087,4.206875686354735,4.123713152237413,4.419682357185572,4.360104255884016,4.234165149799263,4.160922854113487,4.325803911838118,3.9016835274203707,3.8663587912963213,4.013710067368843,3.964688758449033,3.879712413024248,4.2755159874556545,3.943012456434786
ab,6.355744527893015,6.415188742844356,6.472223065316666,6.377059519002649,6.36915160790903,6.417578244184506,6.270579491559428,6.379880356935582,6.437465037347525,6.34999327340506,6.304995590119039,6.17712997870213,6.404888714557849,6.28481083863934,6.369003091298769,6.292194092901704,6.296679331777006,6.172990318183489,6.367365841709476,6.211219074592884
TC008121,5.809815494526659,5.844601090763006,5.848617523720868,5.797948572650166,5.876270761335353,5.835327568804503,5.801535128142267,5.852479005759449,5.833020396832264,5.865277392291697,5.681596170499938,5.738325509042742,5.802616068317482,5.7498283844091445,5.807026539110614,5.623801444409999,5.665537845815926,5.707990859305381,5.867097554830975,5.798271870477096
sens-2,4.392373740277526,4.258193224475997,4.3590834632374325,4.1060563249587085,4.152564960976292,4.067073539486929,4.120591677879881,4.1311951357121695,4.425066535598318,4.371719647050868,3.785761795995002,4.025079949394214,4.295445383938723,4.184300829975645,3.723055306808844,3.4768253143203918,4.0465512988937515,3.6142131907617228,4.3078571653903825,4.058638755115935
TC002961,6.392304786019087,6.362315296566725,6.349124512515516,6.338769598796122,6.3477847719043945,6.505794735955986,6.428078431634688,6.371189150365,6.386671396118931,6.384528521203908,6.26700690676567,6.337008298616112,6.430725920122383,6.353930511405803,6.289406721251,6.211660690138683,6.254379863751941,6.191643839489477,6.255864711356711,6.296299362104152
Fer3,3.2439154827001575,3.0340267183847884,3.1007547746892707,2.775350053299552,3.0708875387149788,3.031407545893135,3.103593856702158,3.393501496101039,3.3289191968627136,3.3474964610497824,2.054175612318994,2.8502317076223576,3.061174601549436,2.8426916072292903,2.890738060125247,1.644981001224966,2.94359401275444,2.821583050091802,2.0908417878566588,2.7568830045307355
mor,6.9109846217607425,6.874311672193107,6.853866259937161,6.868963493318531,6.8858514452921185,6.876200487781628,6.914344213066331,6.923013136733057,6.912418836535337,6.892514951020397,6.722207767160447,6.79455902601644,6.788374507471811,6.867571211492763,6.8666694718262775,6.865295201645456,6.782434281235979,6.794323383310829,6.91340018996308,6.881970002217804
Dsp1,8.420285391711753,8.397087642402681,8.383728785248268,8.39267355075654,8.448659675936199,8.429108817473814,8.437180389899666,8.420718646420541,8.396173710002188,8.432991161286997,8.255247021449714,8.343374145890005,8.329390127006947,8.340687888279215,8.383878112117442,8.32695985722868,8.334299867592096,8.248245166854932,8.35609308733715,8.361403279207286
Or47a,2.4416697936703358,2.8439929114049844,2.544416780954795,2.196363512269495,2.8327374991132444,3.360245876853014,2.9465385714192633,2.996997917363512,2.9172465627921738,2.7195125026010776,0.0,1.62392191182717,1.7088859140650388,2.7174498488016834,1.9984311670963109,2.6058501987287372,2.504706847493824,1.1810008273439183,2.0908417878566588,2.2437852941215066
TC001226,6.965836701235001,6.9563824935907395,6.936572514604459,6.967550461254898,6.972154685728561,7.019503016231751,6.986146593080932,6.9888887907992014,7.008936369153313,6.977040197386429,6.805929640196103,6.904585803946298,6.847732918201283,6.924788627436647,6.926841821069146,6.912164298963007,6.963717003654951,7.003490116153915,6.957093030653728,7.002038944381285
TC001083,3.2959273906621958,3.645806840984639,3.397461028402942,3.6775877174574934,3.346906871906582,3.5701289823570073,3.685253960146064,3.564970149088645,3.5953673619426594,3.439604036241808,2.68107696056963,3.152787667240352,3.1618408510408997,3.145126274112419,3.1027124258345347,3.177846021787673,3.0555069564549058,3.1602432002090155,3.3798680280842763,3.4845755041215547
Dbx,4.945862571478949,5.1439073719675,4.915687457013971,5.167178451248887,5.103362868526556,4.895634194399788,5.0672284801387475,5.1187336798383,4.954554290313831,5.209278767508297,4.234165149799263,4.69073389196588,4.849202400079073,4.663932626268018,4.69516664458649,4.554618807769951,4.928178164901134,4.948570083715232,4.698111791416371,4.911649108356791
TC015874,9.204538072323261,9.240817610270982,9.206259668747595,9.277937041247933,9.283114496226018,9.336019999693244,9.234897143945295,9.234316569013155,9.322723416502646,9.427258556126734,9.110277466320879,9.151853771631464,9.153200249061133,9.024756849088204,9.234371461093783,9.25046251690204,9.204712333600895,9.100445965664576,9.106860849950994,9.23735118696181
Pdp1,4.5536004953156075,4.6352206053109875,4.447433583837029,4.4554396738994155,4.347749174017455,4.451247051955785,4.533136128298306,4.351120781300576,4.392317845103036,4.6475128049997965,3.83591986776894,4.060809461572154,4.632426497889932,4.184300829975645,4.404048911642789,4.248281495467057,4.085099379614079,4.162216913718173,4.055842626093447,4.369040624096056
TC030585,6.706334063748138,6.7348674787441745,6.759518616696739,6.796513080386313,6.764336221724101,6.801281769650318,6.735706934784377,6.785042539277048,6.768131271044573,6.770206488734841,6.642720053757939,6.617918587286322,6.733378509324076,6.7446474311836635,6.726620782647619,6.732535743917975,6.708413498531113,6.726313183470417,6.5982521300599135,6.7152989825676865
al,5.678468378922691,5.70214576066227,5.900612494519958,5.688001917467256,5.835725830563317,5.6517554152891964,5.6361732821800326,5.555042641714006,5.855106966587134,5.85746675712077,5.811798945712499,5.0868640094505535,5.4452840041338515,5.323224314452854,5.458907311485523,5.528852288268181,5.718602766490876,5.886003001626292,5.397454026049903,5.216726410955535
