gene_names,Hox_2,Hox_10,Hox_1,Hox_13,Hox_14,Hox_7,Hox_11,Hox_15,Hox_3,Hox_9,Hox_4,Hox_12,Hox_8,Hox_5,Hox_6,No_hox_3,No_hox_5,No_hox_14,No_hox_15,No_hox_10,No_hox_7,No_hox_12,No_hox_2,No_hox_4,No_hox_11,No_hox_1,No_hox_13,No_hox_6,No_hox_8,No_hox_9
TC003413,4.948343579963067,4.55620011918928,5.047763009073126,4.795871299564428,4.776342184769739,4.550357523443348,4.638985735258353,5.473612797128854,4.928499557762893,4.83443106060208,4.756195595253944,4.976464808842485,4.8952187368005635,4.725411109900973,4.862938674987814,4.828138419163176,5.018024751341798,4.498125474904259,4.540996300421315,4.758564476971304,4.135380385055926,4.243119421947325,4.939036205904393,4.308135492129863,4.755777018943417,4.805912778947214,4.746550150279457,4.183210268709576,4.4254379174631815,4.858141226095603
TC001226,6.546039288528693,6.593302478762778,6.565099881637244,6.566403314608158,6.539794289431449,6.551408038867488,6.535838227894599,6.62351925577862,6.59213901528382,6.64392465364616,6.584982107815311,6.539875536148992,6.514696256741503,6.583896498822682,6.597012464895185,6.589142915750763,6.426275899767454,6.493300611024445,6.361790896623695,6.443733158291021,6.564620878053937,6.491282160441924,6.542728445724856,6.649897743290714,6.586368518150488,6.51947393693537,6.477233596652416,6.536417664075064,6.5412390102334825,6.545687027228296
simj,6.099674862319249,6.13871256185077,6.168853960925765,6.133324890042208,6.153510344457722,6.140107274728448,6.15565462532997,6.172380529759602,6.12223000346168,6.195588467908389,6.121178950818708,6.148580805490599,6.166430210735333,6.209775747636469,6.17753188127622,6.090325208028332,6.047824733239157,6.108547732181657,5.953459920049153,5.973962903387212,6.153422238938814,6.093053882640572,6.210510357163927,6.093224568275062,6.12614095560183,6.268580689816421,6.079015830894398,6.036895924194374,6.08000206036519,6.107755388812286
TC009296,5.160680612974278,5.309191977932741,5.267816007445672,5.245811857261943,5.228278966234173,5.261077827548761,5.231549923081699,5.191823741582588,5.196567658331646,5.210410977443926,5.124277121783244,5.329770618165281,5.279324426650632,5.214433331742193,5.248480324086864,5.321439410039871,5.078260027656376,5.121526673599681,4.9953760470743545,5.154646513728867,5.133396657851309,5.245538396585135,5.094345206226192,5.0217464708404265,5.189157595386318,5.100078640458834,5.004075010009316,5.304228363596334,5.137749918670332,5.0558669209904785
TC008121,5.407716974302964,5.389200576226498,5.3420719416227636,5.446956491861413,5.47813996810854,5.472259704909158,5.358741660687307,5.4658483318850335,5.409736610440305,5.502545651111994,5.5367382660946705,5.414671973293046,5.425232767620804,5.44891692743771,5.348301258573497,5.490236432334951,5.378914166444961,5.356658471169708,5.193484855901534,5.289091166741925,5.422961290442661,5.352631060667998,5.305731875868201,5.193968754940166,5.406317092017529,5.511985768781265,5.253897092926407,5.271604211455617,5.276745800109063,5.37258136574931
ab,5.985983184560092,5.871187757931067,5.912675152798076,6.007091568885284,6.047662611246558,5.908786012292955,5.900381326798622,5.96714248745779,6.040346255280613,6.011351918425636,6.060566969607676,5.985731649919483,6.009685184271813,5.973508529530685,6.003291810405189,6.134460467575162,5.954964819854267,5.8248917941244684,5.640169194092577,5.896051814074446,5.816831662980296,6.028020018207879,5.841773948065767,5.764065813530237,5.842347312315243,5.916103943274258,5.808100059561777,5.844719106176267,6.004579002845135,5.86325094551442
FoxL1,3.990186921296158,3.868758336884369,4.203023307706166,4.135161267842802,3.9713202556576057,4.069141610865924,3.800000417528714,3.851879791298931,4.12816097467899,3.964796100664444,3.9910529641788735,3.9073832700093143,3.865088156387559,3.964449819845683,4.028313880844251,3.9914525883718506,3.521558265875885,4.0347775513246855,3.5702183788631157,4.130171601051545,3.6821226195853805,3.960213498353197,3.869591801347012,4.19203337043544,3.299357840524668,3.849810868653383,3.6094983837262573,3.205907236236042,3.61046013505192,3.6885076751585553
mor,6.524916005428033,6.534903788751,6.532313130438739,6.515247301575532,6.457499457794239,6.497074474997958,6.4340405446064,6.424299362589639,6.457242476471292,6.487105154721779,6.5348496118440575,6.480568208873653,6.5014615570270085,6.426101351355942,6.465435343203991,6.3874241251481365,6.339066534039013,6.545694290049553,6.532583835577463,6.436498316671736,6.2848691686059235,6.4205375764532215,6.456127261255638,6.499469296784765,6.437929250120823,6.462402251366721,6.349018556997573,6.325266100347219,6.455191148551974,6.380306681600102
TC033122,5.48854790707945,5.535842694784782,5.379386428856665,5.504182236167885,5.641311159634469,5.233571791467681,5.380618239884585,5.369791545622669,5.509488277912538,5.596605454746966,5.354846835852621,5.473437033917103,5.467523135072191,5.4199999989955785,5.516536848594745,5.414335894193325,5.063537933680296,5.173184245038376,5.358761474142449,5.531621552209808,5.328092418844843,5.485570318672145,5.145331887609234,5.2381791867970104,5.499442343000386,5.41454502242879,5.275762360403085,5.17901467421794,5.086765570492464,5.402297786260173
TC004054,3.927458902229428,3.5592840237965464,3.9766258775045644,3.83450655425038,3.7911171656273392,3.816326982672657,3.909422881444945,3.693102049976895,3.965969034681033,3.7214419515064012,3.5947855497217396,3.638778640626644,3.683042620694885,3.5173086458554086,3.8427742533082707,3.3938580940227245,3.449721048014456,3.2360613538961878,3.7376140384119094,3.555166991878981,3.790695318471648,4.0758766169298575,2.7682033831797663,3.7310581728615153,3.4482221636025683,3.338345180495774,3.6094983837262573,2.902535001157955,3.273356864993746,3.7412577506255533
