gene_names,Hox_5,Hox_3,Hox_1,Hox_2,Hox_4,No_hox_2,No_hox_3,No_hox_1,No_hox_4,No_hox_5
TC015874,9.984828549268215,9.9424875038321,9.984810943820264,9.974753202220887,9.983983026804713,10.013179019752798,9.778588810335648,9.77197598439136,9.910189555613735,9.758906264397224
trh,6.269066783909827,6.292915977134631,6.30477272533291,6.253886558718582,6.256851664028784,6.222956639728443,6.27343269178449,6.11889452208712,5.841846631305394,5.95922559504795
cato,5.39298823062455,4.978371001308357,5.189250422342198,5.2995484239796795,5.366569731752269,5.022259482542981,5.170012849549456,4.835002098218135,4.482476407075011,4.637236025480272
kn,7.87475110081669,7.929249310431093,7.756639051518398,7.840953465363811,7.958762461006831,7.891264996820525,7.772700041570122,7.584650805348566,7.499788616055138,7.602398911413365
yps,9.453474126625094,9.469985789215452,9.485998565137315,9.483793940638662,9.47555615987869,9.471014765902643,9.425608251257323,9.417962661458274,9.392416357799846,9.423926527823953
TC030888,6.658031196937573,6.755205059005436,6.8465495272254575,6.709333594917291,6.734906593865794,6.626411753961638,6.4987669442058165,6.505780084807708,6.339031965226775,6.294959870687947
TC005946,5.072631616883083,5.098944660608427,5.124910533356282,5.062394720390268,5.203629133336149,5.074565229648583,4.905477622469724,4.664640733276085,4.638455289171839,4.495623985049892
sens-2,4.8651278033249055,4.905285003786122,4.808338942094058,4.878490797803206,5.175828874815605,4.7278014019038075,4.760926847614757,4.484201929560495,4.755163010495403,4.592223988506629
tj,2.511883323513831,2.9520948750437386,3.109896069674857,2.642139406777496,2.583504699380869,2.2136286419679916,1.7125902158497974,0.0,2.6245284100555617,2.05633111441602
Pdp1,5.100628425674322,5.263527671257211,5.130433156678272,5.182950432829964,5.198631687331243,4.96706611026783,5.01680913716955,4.532454525891772,4.998412598078188,4.986577413515948
hb,4.4721744567580135,4.6908482753977285,4.606948201103678,4.438601733382159,4.703061739850061,4.362003942117809,4.388353723666163,4.020947010970107,4.326188591674248,4.416510655053966
TC003413,5.952715691035193,5.940711357656502,5.941443449470647,6.051335061999158,5.963999272381131,5.613079251305582,5.982088752130003,5.790978389358584,5.666276076446739,5.569593351418314
TC005661,6.201617932597297,6.377834985311406,6.318296180146292,6.456014956502824,6.311824251562217,6.116469012783456,6.323560081512583,6.197654735073336,6.092515634450401,5.886218266279816
crc,8.005992590910736,7.9873366152558685,7.96988559640854,8.011465256232873,8.004920651063982,7.938148901445751,7.954153930533479,7.983244845252439,7.9379614384216035,7.9228803028859645
TC007831,6.333057672077199,6.384923586999369,6.258623320049186,6.391062911166657,6.3378165070309045,6.168999599744763,6.188537665120631,6.357861021087868,6.166806467329094,6.085809610723617
CG12605,5.862831943896714,5.902036257953049,5.9040394910009635,5.8945727250898505,5.969808478286295,5.73210829758646,5.772383786965536,5.790978389358584,5.673630736885304,5.595248926800148
