gene_symbol,Hox_5,Hox_7,Hox_3,Hox_2,Hox_6,Hox_4,Hox_8,Hox_1,Hox_9,Hox_10,No_hox_9,No_hox_6,No_hox_7,No_hox_2,No_hox_3,No_hox_5,No_hox_1,No_hox_10,No_hox_4,No_hox_8
CG13641,3.6195471244501394,3.0210199831553513,3.1438931651688207,3.58420931922583,3.0032325807903275,3.2462839147489753,3.0041537286315156,2.0741063951256176,3.19482294479461,3.3011447557292635,3.218017860061118,2.539451461142333,2.0733705273598537,0.9891068335524282,2.7067433187915024,2.7166646376127206,2.700198539256746,3.3280147237054956,2.2581242836773248,2.4226344738653163
spg,2.528155218526035,2.803056385013551,2.9846475365370155,2.746866513290928,2.3306986666296408,3.0440904563578517,2.742263267996461,2.8799731661920176,2.9207063699568465,2.814583014835777,2.2579821530958535,2.234055194870366,2.811872701835794,2.551148623608964,2.4410685817120843,1.8403377883293344,2.072082418952996,2.0439092881688388,2.6881338046419536,2.6878951386641385
ara,3.1805813841532196,3.53472319418169,3.3023903778933703,2.7087129757904163,3.1868819245622073,2.95631682746746,2.913789367607359,2.8468847060733915,3.094004739358557,2.8488080186439335,2.0606430985953414,2.539451461142333,3.160934451559357,2.6748831796801067,2.9164461775004784,2.8270767034685633,2.5762202516613,0.985885154973656,2.897582460140195,2.8973405027750667
eyg,2.9677745951830232,3.1271006722981745,3.6668417873034755,3.091720286003641,2.9128727664322813,3.2689089194371905,3.2572488981577576,3.685013608423828,3.349969918396001,3.322322450925925,3.3465323976218184,1.7921915843680407,2.91120585418963,2.048380000848228,2.582703007183663,3.0169280589040413,2.9098125433896946,1.4725560961555262,3.3466855358987697,3.070424566851899
Mlc2,3.375859199877575,3.8234822306149896,3.6955146137255097,3.6161033019634865,3.57848457516089,3.199437787921226,3.3009989557763864,3.6554801711796494,3.7910033322754995,3.52974730609785,3.218017860061118,2.39836666187546,3.160934451559357,3.4467751806861107,2.7067433187915024,3.3762059965082556,3.2305949232346767,2.0439092881688388,3.3466855358987697,3.5127138139695324
Cyp4e2,3.6039788640732526,3.5837185837891257,3.5913424849055113,3.4453699375906566,3.545545249149485,3.8471974265180995,3.7155440169858975,3.5105903035029513,3.1201780953421006,2.814583014835777,3.218017860061118,2.773074838645633,3.3605946709313876,3.3914884362717426,3.424535266773348,3.1764226635873296,3.2305949232346767,2.670103630956601,3.070668769377403,1.8144602862831802
Cyp6a16,3.3559519243580023,3.351539230329271,3.1438931651688207,2.949488254791189,2.9128727664322813,3.015680077110876,3.3221765341011085,2.5333571372940926,2.7491062532915342,2.43864258378876,2.2579821530958535,2.39836666187546,2.91120585418963,2.6748831796801067,2.582703007183663,2.8270767034685633,3.0001571475894226,2.405240888818788,1.81467465183463,1.4873098480958127
E(spl)m6-BFM,4.629543208788266,4.238339719103251,4.3617528072791645,4.429532332410314,4.265756225196388,4.62047861469976,4.190546774824719,4.496551748244506,4.249170210969068,4.291012731317703,3.855333405891442,3.7140779389422645,4.349856804862946,3.4991647757615425,4.55774062400521,4.296129573941962,4.2787301946205245,3.8721407763478126,3.958730719863053,3.284244497957053
CG3529,3.4698523039302307,3.410101114827523,3.382824037257115,3.367981451141338,3.4396696069143258,3.5582631030148497,3.512424163554862,3.161740469844782,3.4661343880096362,3.5125710263754955,2.9877150818113423,2.39836666187546,3.160934451559357,3.05710870219364,3.5323271806427323,3.247545134463169,2.9098125433896946,3.1286176595400272,3.2181702320478487,2.564034542750844
CG11000,3.4698523039302307,3.245603363162933,3.214916769947548,3.1433939214938085,3.545545249149485,3.524188703926715,2.913789367607359,2.8468847060733915,3.4097379786541646,3.2347799257243035,2.7981826737390336,3.192344364675497,2.7015731390041497,2.6748831796801067,2.582703007183663,2.5925310664368366,3.2969487172773237,3.3280147237054956,3.2181702320478487,1.8144602862831802
Hsp67Bc,3.5051078432679996,3.3714433558906047,3.1681325263781672,3.7482347304620296,3.1122634737291746,3.2462839147489753,2.913789367607359,2.8799731661920176,2.9818707297831852,3.0042976010262468,3.4050839177019436,2.663070175995755,2.2710401179786364,3.05710870219364,3.0897058493183422,2.7166646376127206,2.2697187528687217,3.0522165026913655,2.6881338046419536,0.9979029946781003
CG6770,3.3559519243580023,3.351539230329271,2.604146867494091,2.627739921952991,2.3306986666296408,2.9252591744750136,3.0870248218543264,2.0741063951256176,3.2416600706755268,3.5795739093207612,2.4227231975571915,2.234055194870366,1.498682762579401,2.6748831796801067,2.2760106989977658,2.4507749884369465,2.434666718994895,2.240807137863091,2.5642709120345955,0.9979029946781003
CG3770,3.7631945646060037,3.717762855820278,3.2812288061316437,3.2393607135774714,3.1868819245622073,3.5582631030148497,3.4771605218674844,3.085220879081664,3.2864012808918956,3.4407542848400006,3.460395959514602,2.962322424455575,2.4360112259820355,2.8841478881592733,2.8170816166839887,3.4348181902634507,3.2305949232346767,3.0522165026913655,2.5642709120345955,3.346438467641837
Sesn,2.874639489025171,3.351539230329271,2.8623850266384623,2.949488254791189,3.0032325807903275,3.199437787921226,3.1131895878989386,2.740494867660397,2.7491062532915342,2.9139325302428487,2.5641244049158574,2.39836666187546,1.8267539989788295,3.1335276629677447,2.0782163895699703,2.8270767034685633,1.4975386338641936,2.405240888818788,2.0607816087353927,2.7980912473700217
Msp300,2.906658052931332,3.5676520452901843,3.1681325263781672,3.347660946167725,3.0032325807903275,3.1247776928985185,3.3009989557763864,3.185998917790842,3.094004739358557,2.9139325302428487,2.9877150818113423,3.1213910622462957,1.8267539989788295,2.8841478881592733,2.0782163895699703,3.3762059965082556,2.5762202516613,3.0522165026913655,2.897582460140195,2.7980912473700217
