gene_symbol,Hox_1,Hox_2,Hox_7,Hox_4,Hox_9,Hox_6,Hox_10,Hox_3,Hox_5,Hox_8,No_hox_8,No_hox_2,No_hox_6,No_hox_5,No_hox_9,No_hox_3,No_hox_1,No_hox_10,No_hox_4,No_hox_7
vnd,5.130043975768357,5.205384396706576,5.186212075219773,5.292143130554014,5.2236795555660045,5.225040451482491,5.1149886009420324,5.088655562478364,5.11581476316188,5.0728437667651125,5.199378762949357,5.245054760322058,5.232588459436724,4.85224445075893,4.878950251395023,4.928358156157274,4.89436037174173,5.176239611994983,5.007701942840544,4.862763918765011
CG6712,6.494585754480968,6.498681272500478,6.529009762942657,6.518029023329748,6.478769340279055,6.515553642364081,6.530734690348346,6.480843135594265,6.556918066730615,6.546227890295505,6.457837772020927,6.409020427324971,6.496087358106916,6.4197041148918075,6.4479895834846745,6.4476339584293605,6.4382436322312095,6.472286475824351,6.483579483788788,6.590185359290842
HGTX,5.520905181658134,5.513244749368555,5.328993440697462,5.504299841275902,5.421963839248072,5.477237523328764,5.479802850582048,5.481449960741145,5.374149451802646,5.375410621218675,5.52594915783152,5.027653815021007,5.286863880344994,5.110735963940179,5.215090755928147,5.43880167636681,5.348369141645971,5.407871087960367,5.3490903666168705,5.422898266136003
pre-lola-G,3.8542310909770054,3.894770524587922,3.868637578637996,3.769021448579079,3.8350116343870595,3.8938718797304714,3.808768229178708,3.7645394876492544,3.5466952859861323,3.5575047101019575,3.8006013523867157,3.268139680927916,3.7145675853086386,3.612223048854253,3.5523197872468883,3.083435929759629,3.580110848109116,3.3443545833307593,3.5555725452150138,3.667845172361772
eyg,3.695444579710808,3.6176568627066157,3.2639858058541784,3.085519693649618,3.1989585931697646,2.4363693854069455,3.287271482916941,2.9261061104908586,3.7406068142529945,2.924520431483293,2.0790029203281803,2.2429213324850514,3.4761906513864034,3.0726489106890553,2.7882391642393403,3.359601537861642,1.8296375566622443,1.8126525103060773,2.6048511088454807,3.2303440340335228
ss,3.540652882370507,3.163632190560474,2.649605676476399,2.912297863367579,3.566725399395439,3.1613103188070704,2.868305316815963,2.9261061104908586,3.0164879335280586,2.7896457269592383,0.0,2.548596172625234,2.70318823475849,3.40724487867018,1.4791964329041365,2.576631110913744,1.8296375566622443,2.058673533796187,2.2975158929227266,2.575978905047461
GATAd,5.048215302439692,5.124503644165235,4.936950360969648,5.056317705490737,5.041199936588032,4.946386058774572,5.009913224722755,5.081607221494264,4.956366355004961,5.05801231631875,4.662942527252915,4.98249623959728,4.992037412890461,4.85224445075893,4.614999753422444,5.090419554471737,4.8812149893094325,4.6063270644688465,4.718257857462705,4.9276573753160315
CG5151,2.5745556117762036,3.036121483213773,2.608361449621608,2.912297863367579,2.766751404066613,3.0019303826220276,2.8010445720227968,2.3685311888427436,2.6487733707745846,2.752879717659779,1.8321603909450803,2.548596172625234,2.272592755132589,2.062593782489796,2.5543518441830733,2.576631110913744,2.7047786576118726,2.255961051189237,2.7291002870079177,2.4344283939506486
CG42342,7.222584104050476,7.180782737039124,7.10691478316743,7.20226282680181,7.144810438727864,7.119141728973966,7.15173223773684,7.204607237516855,7.173926922797486,7.1959818807450135,7.01048768861243,7.183882147150006,7.120479308206213,7.089391221950812,7.1349580339542795,7.0920635827197,7.19542823010618,7.0244196953248625,7.152417327069163,7.082657229234153
Sox14,4.300720293608301,4.433932648087288,4.0129329359378465,4.320627910670501,4.220697253006788,4.161509290220287,4.2195264977902625,4.116891675519745,4.173924958069184,4.192885572957755,3.97918972899623,3.496479904103972,4.126032291649634,4.13990925530053,3.9803536639359542,4.004042976856797,4.182407445610453,3.9885332420810773,4.153337325671192,3.7926100697318557
CG30431,3.081292456933262,3.2550920654246696,2.9597686374409173,3.111682599504624,3.390037584032302,3.713261562322331,3.4811270744125626,2.8300504175912566,3.1953030954496056,3.311926643558166,2.4418893391591,2.0459687724646805,2.437591015692949,2.8002817480579147,2.7882391642393403,2.435072436098857,2.9144549051698045,3.215850956004431,3.112565838132965,2.4344283939506486
brk,4.33911806486533,4.44728705622656,4.275100190045113,4.343490537318841,4.301553168445884,4.463258626824192,4.522364701252103,4.405139933621035,4.519770150826472,4.449701645867003,4.158389620809257,3.8744571567031425,4.068169908130318,4.1121932547614195,4.545515394529964,4.302936343227546,4.182407445610453,3.9885332420810773,4.378959926431925,4.413276715577993
D19A,3.9912253080169275,4.024309789209332,4.08278728303509,3.9848468532103536,4.114160935185295,4.161509290220287,4.185260798688986,3.9883272920407062,4.182677686213267,3.930615622105854,3.8389617985709448,4.0053894737443585,3.578453876286475,3.9607674968817967,4.0417413171008025,3.9042128470522317,3.9085876034722733,3.853123865009869,3.934114053308443,3.867900330509741
M1BP,7.634667723745366,7.627657836989991,7.6297075386421955,7.6435516709205915,7.6367789434154485,7.6299250294918854,7.635314692130259,7.613627412103703,7.630477271619103,7.608366208091017,7.601900288748843,7.5675620637184355,7.550697669820963,7.627562765452188,7.637872202803025,7.57769578635364,7.5830460993602395,7.593386277768469,7.596570402542467,7.586715581481208
CG31109,6.270510462729303,6.319894749166067,6.275725240570208,6.258416133064335,6.269993679291352,6.248733879094697,6.28281284410039,6.2313364559069875,6.239807223517464,6.286735961091614,6.170678290599993,6.088061194563917,6.078161568642732,6.212225572378492,6.249755340702546,6.202645959009351,6.192945644852319,6.221413575059342,6.233092170398008,6.236478128579642
CG14442,6.092924020899539,6.118377532959687,6.165542891439042,6.166621845935987,6.172048515698558,6.133709020118481,6.19684605043792,6.171324628214965,6.1513518876253,6.135987173214636,5.990964503411603,6.103236351427498,6.078161568642732,6.031679936992608,6.124413324268902,6.159563080272563,6.107415017806934,6.067593912982387,6.167747091913686,5.933489799090165
ewg,5.611428365919835,5.5291085471708366,5.624442065797532,5.572706588511843,5.616978941451121,5.6604771264447,5.711153310998493,5.65712801735209,5.617341688248917,5.639216005348592,5.553428752363252,5.642811399196878,5.528199979882124,5.357247231533544,5.444495035856341,5.636621229105396,5.6032280256236335,5.620877796043073,5.491557346469525,5.496690878985308
gsb-n,5.53010631991011,5.520074358350055,5.508655299910697,5.482830792129638,5.520781262126572,5.46259331273646,5.546764390669039,5.534548843457315,5.435746725292388,5.581160413766718,5.199378762949357,5.385673090089976,5.338344517352177,5.141324828864249,5.268871939436059,5.525450930590151,5.3890008820339,5.3608350104157685,5.241419774191513,5.161857425808709
Met,4.815509215645963,4.851058238298854,4.762596391249551,4.791428391623161,4.836189944329353,4.736264286913218,4.839551543124255,4.852038156905573,4.86376638852994,4.873972524772862,4.7573942798030195,4.778210255527618,4.706616719146511,4.521561347817926,4.648011459144871,4.764898509324412,4.769325089687093,4.639895612774911,4.718257857462705,4.550541409190052
pho,6.759819729261743,6.749281936360571,6.777583964212178,6.6985328275402445,6.720796881124662,6.780739719024576,6.753586612277653,6.719616663528832,6.748290560929756,6.735455043465297,6.605473662954415,6.727024974835843,6.762138980595115,6.672829970752089,6.640285618860592,6.68194992952785,6.659950778199144,6.691945128193246,6.690419053366503,6.585407250044103
zfh1,5.818514037901275,5.730079454530526,5.692230944019135,5.798612655409659,5.811474235443274,5.747366528457164,5.762849536514236,5.792707041597403,5.731022267023856,5.663974744792493,5.580173370618003,5.535854328261217,5.880213710294212,5.6253540326361,5.515150836200667,5.769706910785878,5.8217671038069065,5.570100691953132,5.506203325323674,5.343223351999344
opa,4.579097841747155,4.523871917248507,4.551286440853317,4.612686169760545,4.612755286798152,4.588637396706066,4.464747379087963,4.571384743147822,4.407996072027354,4.697651818852805,4.594623617746876,4.55716725628718,4.457880477304653,4.218726266231202,4.390134938324483,4.455152470799905,3.9762416573965313,4.263589115448871,4.401154112510446,4.413276715577993
EcR,4.9177150716194316,4.99518291941665,4.985007799431665,4.97957065530894,5.041199936588032,4.929769243259768,4.930426319412536,4.834080798019936,4.872547971999758,4.968179073387042,4.695427831197949,4.935202618809919,4.53547722744848,4.381563903843062,4.347200743757439,4.902903717685727,4.518321112687444,4.47907970980162,4.562930775156654,4.807635632492359
ara,2.9984451159957226,2.920937737952172,3.3067737635976537,3.1862991046059053,3.1989585931697646,3.1364492161485646,2.9614066236115044,2.516907866546869,3.2184250734426527,3.149541593067545,2.70758233148549,3.268139680927916,2.70318823475849,2.062593782489796,2.678117884955622,3.000579691380739,2.0763747835213886,2.5620409990561566,2.7291002870079177,2.4344283939506486
kay,2.698517907255871,3.2329992907928324,3.219284881993975,3.162040338869962,3.266790146038663,3.232387260150243,3.220943317656205,3.1688638262867794,3.147390683309697,3.4136359127377456,2.917296538405876,2.782382011961588,3.086069712586597,2.4247602865377313,2.7882391642393403,3.083435929759629,2.4391467263161863,3.1448244756309918,3.189180626182374,2.90956556036651
Kr,6.589441029064775,6.5172665692500225,6.641794191428516,6.585895181991594,6.595010919701948,6.670962641893917,6.528226844151075,6.622225337963375,6.663757850007817,6.655569491465212,6.531833724842432,6.504180901677391,6.447635364110065,6.433590042775911,6.442607295369227,6.600378559351057,6.481898025374255,6.546095324599606,6.544596868829559,6.556248994222118
CG4768,6.395579573000108,6.325993782470601,6.282157859690951,6.347578625369638,6.350224627585795,6.325261235261838,6.325740305533406,6.354487159215688,6.34641999491142,6.317948066922999,6.322962105494283,6.316090638840693,6.292829161960233,6.316696943218984,6.189046875926358,6.296493245034621,6.275022377630381,6.228179840094806,6.277764128530118,6.236478128579642
tara,6.105882070266291,6.078945539127171,6.117577920585474,6.088172506372722,6.097548753414835,6.070152394763259,6.092488466935478,6.084394980780422,6.106554396582113,6.086478696565449,6.025365887738161,6.016770350179434,6.066116829780104,5.967850902267118,5.9462302823743665,6.0305163008381335,6.022368821134386,5.822015150924496,6.073396350763258,6.0381255214356235
tin,4.33911806486533,4.399744909306003,4.3367771214467075,3.940750056031492,3.940688950416048,3.8938718797304714,4.193937926157237,4.029674333334246,4.101000264758582,4.039772636653493,3.7191619711611414,3.8019452645423844,3.3622657872814554,3.700844957313586,3.2741450702657806,3.4735160891955177,3.7162306081584937,3.560416523112156,3.823130179594566,4.254126521063862
sob,4.148826862474761,3.883178276216468,3.741481196140041,3.882745460729075,4.123485519666555,3.655042605846826,4.268819314314883,4.1971086283079835,4.165094942703326,4.2362943748197495,3.304570624528283,3.593673107187358,3.4761906513864034,3.462560909786563,2.0514064740672597,3.5757710062172805,3.3639112835312175,3.068364881266749,3.9685305584680606,4.003349965873706
CG13287,2.843007036913847,2.920937737952172,2.9597686374409173,3.3413935172152267,2.962533391056516,3.0847922411741555,2.9003119043552843,2.895101538680246,2.7985810289871673,2.9555768032645044,2.70758233148549,2.407393200977347,2.074884141756086,0.99937621774915,3.136850294715756,2.270117483480841,2.580756922622829,2.058673533796187,2.0991888994491608,2.90956556036651
