gene_symbol,Hox_3,Hox_5,Hox_2,Hox_1,Hox_4,No_hox_3,No_hox_2,No_hox_5,No_hox_1,No_hox_4
Jra,5.473541176992542,5.495778507915561,5.483935027413449,5.433551599699757,5.517927001416953,5.437464543179767,5.282645564047879,5.319337731907762,5.43657306464525,5.054626307978766
Ets65A,2.817946279345342,3.1289950345628417,3.353476625839384,3.488640405347896,3.219332804780519,2.692322748831986,2.8095149878847305,2.7091923985726862,3.0813002117614365,1.813925590985004
tara,6.758775145535804,6.805962209358542,6.773638885467391,6.822867196141366,6.775025836169497,6.713581202201234,6.779813963438185,6.669132714570776,6.736803016606938,6.562227940029801
HGTX,6.124568390502266,6.110736810209712,6.084913316233071,6.231042947239108,6.159570398564979,5.843974301006155,5.950935327860783,6.0355053480863745,6.100727091994314,6.111739797042452
ss,3.444217155216841,4.049217969889874,3.943592709466382,3.6805145476827414,3.641802048622007,2.8025525021407147,2.4337223646945545,2.7091923985726862,3.791112176762985,3.0698154169676224
Myc,6.822987302641669,6.933688182299564,6.926404034270971,6.932257147883046,6.825314899249089,6.728101834403922,6.753868384122089,6.657948685321755,6.9237116986263,6.805675247847082
NHP2,9.084343760614846,9.127738111795939,9.104577176238486,9.124031772658224,9.110317001070257,9.043327475539495,9.06767433977624,9.035870388788076,9.095688708439653,9.084426187986153
trh,4.51495238699266,4.718321149065604,4.748692781635679,4.7768667221969885,4.737922643550733,3.517322524547464,3.7104313014282515,3.584708699187571,4.452940158452337,4.2650889419992355
tin,4.690106795297736,4.8436419261151755,4.979044555951626,4.878461516835864,4.707424598021521,3.7447350994165425,4.702415302809528,4.335225109320265,4.472909953036562,4.441040559857416
CG17612,5.658422320312854,5.550871275221864,5.5620030129761755,5.598185804274386,5.520219270407086,5.367712692803191,5.488781202573282,5.470333015745864,5.509291506161982,5.378274983409854
kni,5.688471748694527,5.579492520823934,5.686454155097919,5.617244779706992,5.684539956250706,5.40706270944031,5.671607903996875,5.568608910505357,5.536960133292735,5.2873666165238244
