gene_symbol,Nbs_type,Hox_1,Hox_2,Hox_7,Hox_4,Hox_9,Hox_6,Hox_10,Hox_3,Hox_5,Hox_8,No_hox_8,No_hox_2,No_hox_6,No_hox_5,No_hox_9,No_hox_3,No_hox_1,No_hox_10,No_hox_4,No_hox_7
vnd,VNC,5.13004397576836,5.20538439670658,5.18621207521977,5.29214313055401,5.223679555566,5.22504045148249,5.11498860094203,5.08865556247836,5.11581476316188,5.07284376676511,5.19937876294936,5.24505476032206,5.23258845943672,4.85224445075893,4.87895025139502,4.92835815615727,4.89436037174173,5.17623961199498,5.00770194284054,4.86276391876501
CG6712,VNC,6.49458575448097,6.49868127250048,6.52900976294266,6.51802902332975,6.47876934027906,6.51555364236408,6.53073469034835,6.48084313559427,6.55691806673062,6.54622789029551,6.45783777202093,6.40902042732497,6.49608735810692,6.41970411489181,6.44798958348467,6.44763395842936,6.43824363223121,6.47228647582435,6.48357948378879,6.59018535929084
HGTX,VNC,5.52090518165813,5.51324474936856,5.32899344069746,5.5042998412759,5.42196383924807,5.47723752332876,5.47980285058205,5.48144996074115,5.37414945180265,5.37541062121868,5.52594915783152,5.02765381502101,5.28686388034499,5.11073596394018,5.21509075592815,5.43880167636681,5.34836914164597,5.40787108796037,5.34909036661687,5.422898266136
pre-lola-G,VNC,3.85423109097701,3.89477052458792,3.868637578638,3.76902144857908,3.83501163438706,3.89387187973047,3.80876822917871,3.76453948764925,3.54669528598613,3.55750471010196,3.80060135238672,3.26813968092792,3.71456758530864,3.61222304885425,3.55231978724689,3.08343592975963,3.58011084810912,3.34435458333076,3.55557254521501,3.66784517236177
eyg,VNC,3.69544457971081,3.61765686270662,3.26398580585418,3.08551969364962,3.19895859316976,2.43636938540695,3.28727148291694,2.92610611049086,3.74060681425299,2.92452043148329,2.07900292032818,2.24292133248505,3.4761906513864,3.07264891068906,2.78823916423934,3.35960153786164,1.82963755666224,1.81265251030608,2.60485110884548,3.23034403403352
ss,VNC,3.54065288237051,3.16363219056047,2.6496056764764,2.91229786336758,3.56672539939544,3.16131031880707,2.86830531681596,2.92610611049086,3.01648793352806,2.78964572695924,0,2.54859617262523,2.70318823475849,3.40724487867018,1.47919643290414,2.57663111091374,1.82963755666224,2.05867353379619,2.29751589292273,2.57597890504746
GATAd,VNC,5.04821530243969,5.12450364416524,4.93695036096965,5.05631770549074,5.04119993658803,4.94638605877457,5.00991322472276,5.08160722149426,4.95636635500496,5.05801231631875,4.66294252725292,4.98249623959728,4.99203741289046,4.85224445075893,4.61499975342244,5.09041955447174,4.88121498930943,4.60632706446885,4.71825785746271,4.92765737531603
CG5151,VNC,2.5745556117762,3.03612148321377,2.60836144962161,2.91229786336758,2.76675140406661,3.00193038262203,2.8010445720228,2.36853118884274,2.64877337077458,2.75287971765978,1.83216039094508,2.54859617262523,2.27259275513259,2.0625937824898,2.55435184418307,2.57663111091374,2.70477865761187,2.25596105118924,2.72910028700792,2.43442839395065
CG42342,VNC,7.22258410405048,7.18078273703912,7.10691478316743,7.20226282680181,7.14481043872786,7.11914172897397,7.15173223773684,7.20460723751686,7.17392692279749,7.19598188074501,7.01048768861243,7.18388214715001,7.12047930820621,7.08939122195081,7.13495803395428,7.0920635827197,7.19542823010618,7.02441969532486,7.15241732706916,7.08265722923415
Sox14,VNC,4.3007202936083,4.43393264808729,4.01293293593785,4.3206279106705,4.22069725300679,4.16150929022029,4.21952649779026,4.11689167551975,4.17392495806918,4.19288557295776,3.97918972899623,3.49647990410397,4.12603229164963,4.13990925530053,3.98035366393595,4.0040429768568,4.18240744561045,3.98853324208108,4.15333732567119,3.79261006973186
