gene_symbol,Hox_6,Hox_3,Hox_1,Hox_4,Hox_2,Hox_10,Hox_5,Hox_9,Hox_7,Hox_8,No_hox_4,No_hox_2,No_hox_6,No_hox_10,No_hox_9,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_3
Met,4.949293909225349,4.860460613610944,4.875443511555903,4.841687460294938,4.949206258470406,4.860727867710721,4.750908894408633,4.619217449146922,4.660657972214252,4.8058665813379715,4.623781887609517,4.616142428775826,4.699777813126585,4.566687640529434,4.732986781141494,4.802493898418724,4.693163962352611,4.538539336870729,4.828550681775676,4.747453340828571
CG42342,7.227590669954438,7.2132632644669,7.23383690241196,7.203069662514788,7.172785714850059,7.116088621712738,7.136293414820821,7.046579299338709,7.1414959246845235,7.201449241569191,7.051116588904483,7.198532363780273,7.031847991099624,7.130347650997764,7.194057294276307,7.135478665760201,7.10156572149387,7.044894141193253,7.087162377221709,7.119097707432998
kni,4.802966740733652,5.02358920052904,4.918231570326265,4.970219231769868,4.864316834228961,4.993847266736419,5.026290132437248,5.043716589038579,4.930600781577623,5.001619047146228,4.657356198939057,4.84769455455815,4.7732357670515535,4.685314824338413,4.990927782134113,4.802493898418724,4.784728926520107,4.97007768282995,4.506199753640317,5.001919021642734
opa,4.569071918519614,4.51464042302257,4.424695979175136,4.634111291653734,4.685305147210115,4.648361395033014,4.563256751598349,4.679261872716619,4.403332558801315,4.461353399316922,4.231671086989257,4.40409497451999,4.552203231967084,4.368323688241393,4.1644438778513,4.508080007990224,4.284281189570873,4.38317150588515,4.406277451467557,4.4876878235509166
NHP2,8.411283776730253,8.397871594525835,8.41348646880971,8.408503383227918,8.395812085492437,8.416434405330616,8.420994774821512,8.43791885705819,8.45167715880422,8.392915202568451,8.307774043964319,8.413476470959553,8.417479659228514,8.350126218003396,8.353711706467479,8.413848816101495,8.360090416551369,8.371184254575164,8.338916513618313,8.389427452973399
CG6712,6.51696867977086,6.490074295335844,6.500511599323461,6.525206284743797,6.497421657829108,6.546419124916179,6.515817540708981,6.48525606026244,6.561902470911868,6.511184971605973,6.395786406346186,6.51267164443234,6.524073527921713,6.469353037592261,6.366077621764248,6.533662261719125,6.444524218428498,6.475245249579276,6.426007501324994,6.5060212630230705
Myc,6.267982173777662,6.10767470499842,6.215621910773785,6.269205191962398,6.202718646739326,6.159636755876511,6.180109257617258,6.149045893566997,6.241082634270608,6.1425070867885925,5.9542356824460345,6.152530060692957,6.28955005350084,6.048440312659502,5.804724397193495,6.186170008385078,6.092481562404514,6.1820102290530015,5.814700294200347,6.201173190305016
ems,5.496645650404783,5.524964653780206,5.654928902989336,5.540018158611766,5.5469051650205214,5.633512397585972,5.5360182731314636,5.551958986060729,5.673783582315025,5.619038644374087,5.231662582306705,5.72547348294329,5.42593704338539,5.451048590281617,5.185995190471681,5.195702154914255,5.349085290324542,5.466337669255996,5.360747119762057,5.5100510091731
sima,6.152308041371625,6.1788923714891775,6.13584104141258,6.144367615096171,6.129213020978111,6.154769029989132,6.08669162689239,6.145384015817473,6.154248309395848,6.182452339359103,6.065188140631241,6.066730688444983,5.943827048820941,6.048440312659502,5.810013505988641,6.049375858730897,6.018850663456976,6.195822877724736,6.091296782491581,6.071995245367682
CG30431,4.051471552037631,3.0451446109513354,3.3696598082470577,3.3400894650689983,2.8374864228920926,2.6542259505601993,3.423974694329253,3.2173780756616925,3.0107819075528766,2.871376137212196,3.08518140388663,2.0825355735624065,2.777676447333352,2.267662801292322,2.8237107221449533,2.6951199577136644,2.705450114914076,3.32951569668303,2.263133842373915,2.446674556378445
ewg,5.6041414842318895,5.641037110490245,5.571328586024963,5.718646306554227,5.6982564296476115,5.661869268907697,5.580897257129115,5.599509532098414,5.600866444551527,5.561112432763244,5.644613899250595,5.623017116175726,5.4550095442917295,5.5700053273697705,5.510957449988047,5.4479099146067105,5.544353475973542,5.452010186208378,5.496722807412874,5.649285086034392
CG32772,4.62043241310392,4.691995162580039,4.410878425116351,4.622794253237234,4.460494008869256,4.5917661921166335,4.610682126635208,4.555336079330968,4.6551088626453385,4.525584822630867,4.623781887609517,4.382387745722467,4.516226028157426,4.472416153685628,4.2176929564435595,4.198474081854829,4.3978511866022725,4.295384806109392,4.1966014373159375,4.44733432834833
vnd,5.221065104119073,5.103125559704528,5.1785842199642325,5.221331215744138,5.1934949803974,5.13526375866196,5.1105218588208245,5.209494530451928,5.097518659545875,5.194359588771026,4.991112888094192,4.874881440141748,4.9541474998483555,5.0983282056634245,5.145816321048671,4.995200171586476,5.234999621445904,4.819026467500387,5.164705953135034,5.0593607105177645
amos,2.051278395715656,2.866890311431793,2.835517794840928,2.9420522527722444,2.3208626231718448,3.0765170359629357,1.502537935095731,2.315363455009075,2.920384953293111,3.6905752557702085,1.007697364723909,0.0,1.4705135164461836,3.620562579942656,1.8373286075716813,1.0028030003963504,1.0098288591851814,1.7997942190313938,1.0015996592462562,1.507764984066739
zfh1,5.803385240288149,5.789737317828762,5.720876753344268,5.697500885372798,5.754372964553677,5.766082708780691,5.770246061398595,5.794502292585794,5.776788637646545,5.679695077014884,5.581130723169737,5.4945224136353215,5.637812427630707,5.777754885016778,5.846274094801104,5.599318780703617,5.584473042020373,5.567711246015271,5.453419909384303,5.661587730342407
pre-lola-G,3.756460228048996,3.7815759795689905,3.870617588259427,3.5765794826206103,3.8962674010778935,3.8119397672211166,3.759266457261181,3.725890473255906,3.7502397047410545,3.8971191776595377,3.2327789819609825,3.308459263609472,3.634057845227642,3.6658651450883792,3.8449799801211157,3.1543097494733945,2.9151354632590842,3.8380669278338675,3.518388806054379,3.8057244879356538
brk,4.309813100321723,4.598648390651544,4.252947419090762,4.287974508141962,4.2631231023928065,4.427609302516,4.474432193061117,4.3786986724662045,4.60373050194488,4.4344593154272545,3.870382480213233,3.9154876786505666,4.116211138678064,4.252123457510189,4.488587713775013,4.059668425218558,4.099903413276735,4.501901342662957,4.318464253149531,4.3613869069503455
tara,6.131657957841666,6.101291016169329,6.035528660519363,6.115370084526857,6.0606435958234925,6.031594875911041,6.138268208983768,6.050532638720024,6.154248309395848,6.1034711347545585,5.9542356824460345,5.879158081528758,6.036098240437101,5.971995156400419,6.116549177540269,5.9420132647527755,6.044001521707235,6.064050821467815,5.9844543720607595,6.009231185783879
CG31109,6.211816739029975,6.3149762321225715,6.280965139121221,6.201130608282559,6.3301696600745725,6.235586487460734,6.2499279579499225,6.2780356707354565,6.28673692611358,6.290332333852398,6.116365312224277,6.207075270506913,6.264359547126334,6.199913658593885,6.226724683671807,6.164631330821989,6.272451906318712,6.17152407801217,6.1699653062579625,6.088087721553352
HnRNP-K,7.836748052801624,7.845901234493978,7.866757498773666,7.829431686003736,7.847769965392274,7.823422665093687,7.843763301084759,7.835825630313554,7.854650455618107,7.798757884793191,7.7565639947001355,7.807785199700872,7.785587509599455,7.832065815384649,7.81772117101724,7.798928203031979,7.8379214837129965,7.811839378328623,7.813875222025696,7.768183070423784
CG14442,6.159495676779011,6.146369135006977,6.118335030223302,6.131863178310627,6.157566507032394,6.160849994032774,6.131964748202051,6.141708679420279,6.146764267365901,6.211685962710199,6.02815829268214,6.046159707190512,6.083055820225965,6.072676326604663,6.064758846777936,6.032953739982407,6.119712862230442,6.0834241954835635,6.184272699444458,6.059753628499447
HGTX,5.526309873736642,5.520395816086199,5.288536108488123,5.411582961540242,5.496405852571668,5.466174597536155,5.4597395847804115,5.451934415108866,5.429168629226304,5.4265520315613855,5.329020019744696,5.213002124424239,5.213059362147271,5.307464729052027,5.215104183795911,5.402302168857751,5.40551865107898,5.337463607203744,5.475305732709787,5.287918421912453
CG15107,6.778477693608475,6.777810879673084,6.744483379516237,6.750092937090234,6.757305170827622,6.7792880416342225,6.7983781115696065,6.768411541197439,6.8331845869792796,6.7528214824102175,6.705302702839804,6.655748359340098,6.685018375892054,6.75058780295182,6.609246190803592,6.695461099084472,6.697948475637854,6.678696797979018,6.858453437553572,6.656950246752485
