gene_symbol,Hox_1,Hox_10,Hox_9,Hox_12,Hox_6,Hox_14,Hox_3,Hox_15,Hox_5,Hox_7,Hox_2,Hox_11,Hox_8,Hox_4,Hox_13,No_hox_5,No_hox_9,No_hox_13,No_hox_7,No_hox_11,No_hox_12,No_hox_1,No_hox_14,No_hox_2,No_hox_10,No_hox_3,No_hox_6,No_hox_8,No_hox_4,No_hox_15
drm,4.260463550178468,4.5628582597760845,4.4233623795510715,4.383835263358446,4.358045046974361,4.280470941860835,4.397546129335643,4.309640347969765,4.372061769360076,4.2425630421690474,4.553643343500404,4.488230084903066,4.527590252508251,4.49095154067419,4.508648261142745,4.292799433481294,4.4583013832999185,4.240216570371504,3.40959247945187,4.490992528614477,4.1803608166468536,4.334130593268291,4.115956458887712,4.308440298202509,4.3093786900535545,4.481116852925358,3.955732653436943,4.306774791743575,4.615147034285518,3.395802882890197
Met,4.4253436183745976,4.317175868516632,4.464261240844497,4.459606308362323,4.4409787493315465,4.349601785436155,4.291962602134813,4.459660593980557,4.42811778139239,4.528721926959186,4.510221483384785,4.578497997588918,4.319555098281772,4.246461928264425,4.462344858814955,4.041867059517956,4.4370469294304185,4.28952408679992,4.317390274804922,4.367322871524981,4.205944098234879,4.050810085311674,4.648133789848755,4.510740024245757,4.0185244873538855,4.319497986611396,4.230637156176623,4.306774791743575,4.240216570371504,4.072051261688935
CG1677,6.686603384176419,6.694046348449432,6.741471497540457,6.685208295877346,6.7234721428572035,6.731584779429623,6.756163943082887,6.690265861660439,6.685566419140823,6.741121376624444,6.727754211027543,6.654702024643593,6.688109265360239,6.740605827646532,6.725339447623,6.62935193076377,6.706974854365999,6.627255577589218,6.681747242790054,6.651745278601651,6.620007717031227,6.724151837005017,6.676650861617124,6.592010230596006,6.654032359550092,6.725199041152146,6.7876775620631875,6.70309371051656,6.670437237186608,6.621144125982263
CG17612,4.498596217840771,4.531245310359801,4.490626463121924,4.3909657417446795,4.4926775894498325,4.40727968602095,4.473329729419162,4.505051160441916,4.297261545128407,4.606496007953249,4.3890523977794,4.4691558291856515,4.57646206802255,4.5881405435234965,4.540456788697433,4.409062802482097,4.109562895042259,4.240216570371504,4.405202253575858,4.451444620488777,4.647865623508093,4.1086553321347035,4.56199289411216,4.454227891171953,4.332062663909198,4.099675554754215,4.129553996793741,4.208108953733088,4.505085512808901,4.408042330673895
CG31109,5.821611084308725,5.879856915354645,5.908658922249121,5.879765118155854,5.777418553218234,5.860927553007793,5.813529311504318,5.811827788052585,5.949264162399264,5.814979679576562,5.899359375363431,5.918638143417772,5.919848393953171,5.837767682251352,5.878467693493302,5.944640533803802,5.752974136589105,5.56991010937476,5.828915145426213,5.849098109920936,5.782722025774342,5.621770108817741,5.825234723327853,5.874810260294136,5.870190634435246,5.7755464923132624,5.641766519184231,5.768153161650478,5.8121652018025225,5.7796065920465844
kni,4.560831483685507,4.73404379558927,4.450813291395468,4.498637267471007,4.61689421809181,4.400249273671561,4.505965526651403,4.736095856303628,4.591230973619838,4.559354998904954,4.345164680003042,4.525320633230078,4.508629476195848,4.697684742232005,4.577337795150291,4.452030053739276,4.299058037907685,4.615147034285518,4.578441507804863,4.322450330668946,4.278986738407603,4.572478708258231,4.341456249344828,4.3943298363099865,4.417978406305635,4.341187578397029,4.3653543969388915,4.154867750664158,4.561629702218099,4.339919009408336
CG42342,6.6937783931366095,6.808402694592066,6.783724962678529,6.808410313620056,6.737582655253853,6.646487280289097,6.842344890077241,6.815408578611938,6.768306125303452,6.740440286740632,6.639784451212169,6.7502886866454865,6.798025505979137,6.859676651475804,6.792748396970279,6.634107568879997,6.728927187767729,6.6726591147730145,6.791932119185061,6.6405111786925675,6.554653987752101,6.805050278890946,6.717074989537771,6.801533072508382,6.760363424793841,6.7639931484077405,6.64360290791878,6.657141181906546,6.739197268764005,6.594382107403492
Jra,4.390186278434508,4.378887565453864,4.607162764517871,4.548416231933676,4.350813145048443,4.206203747485442,4.383128306241719,4.301902978941275,4.350203256905842,4.337319603955163,4.275495641252891,4.346373329439588,4.415057195563651,4.451924036114344,4.441824837032307,4.2422251759417335,4.499501232415594,4.188351154022674,4.114581502355075,4.251124224429486,4.324876705811385,4.31144598831755,3.9312730979729538,4.214474665916309,3.8875582981113546,4.319497986611396,4.230637156176623,4.4178180288039535,3.9821643372965565,4.2668134257785875
brk,3.8539079227791735,4.085394055429723,4.057873341267274,4.339950495132921,4.047960377146932,3.986778981912202,3.8364240474338622,4.026427733217109,4.042060050206091,3.9894367489404137,3.957245677975724,3.9827843670849807,3.9729367878467805,3.976962081074031,3.9296336785975217,3.791043629548648,4.079304071978269,3.7221197700336104,3.895512830980845,3.619576057996091,3.5521767608954997,3.345218553687265,3.1527857862983844,3.931707191754733,3.815025648214494,4.071978224309517,4.046415312526885,4.127144998009112,3.7636712659793963,3.905303254111733
D19A,3.6951226156574632,3.7273259452927103,3.6409300879866824,3.644884666517079,3.8413260575852783,3.676584304091932,3.5805101144857976,3.4467400207125176,3.726428472911941,3.762913751929614,3.650029888216617,3.5114319584297227,3.7943717838001416,3.6955080709517985,3.636955919199028,3.660731625229942,3.4029345914935973,3.307490706146153,3.351031643319486,3.3559806176476794,3.449995871639851,3.283027442542398,3.2901726138486245,3.4338702918754693,3.921942632602759,3.3092561135675016,3.745205463235564,3.5297267032106254,3.307490706146153,3.829951704855584
