gene_names,Nbs_type,Hox_7,Hox_9,Hox_10,Hox_4,Hox_6,Hox_2,Hox_3,Hox_5,Hox_1,Hox_8,No_hox_3,No_hox_2,No_hox_10,No_hox_6,No_hox_4,No_hox_8,No_hox_5,No_hox_7,No_hox_1,No_hox_9
Ptx1,VNC,4.92950587973352,5.08446645438878,5.06879034858354,5.00456195974573,5.07234726330166,5.17723664355497,5.00717956337311,5.09342690848476,5.04229540630338,5.07866576864626,4.77806142375665,4.86211850777251,4.65419383618851,5.19739752472301,4.61426612775897,4.77123973562713,4.73091876887841,5.34090848388897,4.45551737605182,4.83092703210102
Lim3,VNC,5.61405379648578,5.44706075834802,5.44718963305996,5.29293195850082,5.42369117698963,5.39671459974733,5.44395800574337,5.4228321479399,5.32545592428096,5.29770779389048,5.11485423931932,5.21647053127616,5.30957787852631,5.02728117802904,4.82268038932731,5.44220180465001,5.00641043162963,5.59715565794958,4.99425040619376,5.13331950705058
yps,VNC,8.75946251061694,8.77912284988062,8.76019331493549,8.71974150774611,8.78434341045735,8.78484629328572,8.81678619953612,8.77937988142266,8.82905697848516,8.76659773655124,8.73387904992478,8.78259156826052,8.72673804953962,8.67308959035692,8.78374570309107,8.71585704683288,8.68418592136513,8.73927297208873,8.71019482265983,8.75755398406867
TC008064,VNC,5.50521118754286,5.30134116382316,5.42953226374304,5.28819403967788,5.57143306588613,5.2022235446173,5.51718560816903,5.38738629811243,5.35766622441938,5.40599474245391,5.16788812699963,5.53545342154321,5.19101498997693,4.92997548741256,5.03733792966426,5.19727636073182,5.22216776249722,5.20186501071063,4.97810097421764,5.23933274315174
tara,VNC,6.27406259293097,6.29908029555399,6.27119808319151,6.25928917777891,6.27048379508005,6.27630339054675,6.21574227006937,6.26053797810902,6.23267548695114,6.24127185570128,6.07816022495461,6.34776143554251,6.22065254151498,6.15208354535576,6.03467146074103,6.11487270827132,6.18274320498986,6.08958535408021,6.15574449424851,6.31171543719221
Atf3,VNC,4.27894940388324,4.12939757916725,4.11141668984725,4.26997553730202,4.15256496097629,4.22316338499555,3.85558473914426,4.18911729023743,3.99577307785599,4.10156578039321,3.61815718289975,4.02507994939421,3.92692850178114,3.67337244485985,3.61466799732517,3.84993537122184,4.22595484193557,4.16221691371817,4.05584262609345,3.81224719397121
CG43088,VNC,4.17932637305954,4.29564508475243,4.05042936047976,4.22286907903824,4.1947686980334,4.1194295700425,4.24737747104428,4.19612723690307,4.14847350299169,4.05511322422016,3.83591986776894,4.38729357217005,4.19841436961264,3.90168352742037,3.95162410667856,3.17784602178767,3.92109907605175,4.05075524392882,3.97040463604553,3.18551040969669
TC005946,VNC,4.38102237175841,4.57220036958386,4.44743358383703,4.33978885112112,4.35364233865669,4.18976695470736,4.41171874030034,4.46946533225086,4.43574869702028,4.58419687911836,4.38624341169152,4.33532173919844,4.32580391183812,3.98017057473523,3.49308854038308,3.70668643979671,4.04655129889375,4.26249140717099,4.05584262609345,4.05863875511594
TC009296,VNC,5.62891310466353,5.62250628745435,5.61507647164975,5.68161341605524,5.56969299266835,5.65017994320601,5.62789045228714,5.59549447167778,5.65049646455573,5.73971431305656,5.56713070930922,5.59015838640334,5.63175829165611,5.42612356275278,5.44981389327017,5.48646529127685,5.60123018366561,5.68525277864082,5.49914380362096,5.43189408997388
kay,VNC,5.40789453456111,5.42947271240849,5.38500991166529,5.35033625463724,5.25266760989607,5.35946098860811,5.29318779956118,5.35283719309708,5.45810587316871,5.48679705427379,5.33406542946434,5.33119020380799,5.44528400413385,5.04044012983878,5.16659915848548,5.04789077344549,5.28104649269432,5.44362285331118,5.15655377905694,5.05583598263449
kn,VNC,7.31838915153743,7.2509752563415,7.05473480683266,7.15846112300642,7.10813635653565,7.22727539051225,7.14552811096282,7.26525893752468,7.1771602003143,7.05655158855919,7.11444943178929,7.309035025284,7.19854920026814,6.62611945748059,6.96570386866786,6.96090705245212,6.97848692337542,6.94867528492482,6.90632340403778,6.69204059102116
slou,VNC,4.46841796659927,4.36086327263779,4.32383036723525,4.39349236992588,4.1947686980334,4.31714065682709,4.20687568635474,4.12371315223741,4.41968235718557,4.36010425588402,4.23416514979926,4.16092285411349,4.32580391183812,3.90168352742037,3.86635879129632,4.01371006736884,3.96468875844903,3.87971241302425,4.27551598745565,3.94301245643479
ab,VNC,6.35574452789302,6.41518874284436,6.47222306531667,6.37705951900265,6.36915160790903,6.41757824418451,6.27057949155943,6.37988035693558,6.43746503734752,6.34999327340506,6.30499559011904,6.17712997870213,6.40488871455785,6.28481083863934,6.36900309129877,6.2921940929017,6.29667933177701,6.17299031818349,6.36736584170948,6.21121907459288
mip130,VNC,5.80981549452666,5.84460109076301,5.84861752372087,5.79794857265017,5.87627076133535,5.8353275688045,5.80153512814227,5.85247900575945,5.83302039683226,5.8652773922917,5.68159617049994,5.73832550904274,5.80261606831748,5.74982838440914,5.80702653911061,5.62380144441,5.66553784581593,5.70799085930538,5.86709755483098,5.7982718704771
sens-2,VNC,4.39237374027753,4.258193224476,4.35908346323743,4.10605632495871,4.15256496097629,4.06707353948693,4.12059167787988,4.13119513571217,4.42506653559832,4.37171964705087,3.785761795995,4.02507994939421,4.29544538393872,4.18430082997565,3.72305530680884,3.47682531432039,4.04655129889375,3.61421319076172,4.30785716539038,4.05863875511594
CTCF,VNC,6.39230478601909,6.36231529656673,6.34912451251552,6.33876959879612,6.34778477190439,6.50579473595599,6.42807843163469,6.371189150365,6.38667139611893,6.38452852120391,6.26700690676567,6.33700829861611,6.43072592012238,6.3539305114058,6.289406721251,6.21166069013868,6.25437986375194,6.19164383948948,6.25586471135671,6.29629936210415
Fer3,VNC,3.24391548270016,3.03402671838479,3.10075477468927,2.77535005329955,3.07088753871498,3.03140754589313,3.10359385670216,3.39350149610104,3.32891919686271,3.34749646104978,2.05417561231899,2.85023170762236,3.06117460154944,2.84269160722929,2.89073806012525,1.64498100122497,2.94359401275444,2.8215830500918,2.09084178785666,2.75688300453074
mor,VNC,6.91098462176074,6.87431167219311,6.85386625993716,6.86896349331853,6.88585144529212,6.87620048778163,6.91434421306633,6.92301313673306,6.91241883653534,6.8925149510204,6.72220776716045,6.79455902601644,6.78837450747181,6.86757121149276,6.86666947182628,6.86529520164546,6.78243428123598,6.79432338331083,6.91340018996308,6.8819700022178
Dsp1,VNC,8.42028539171175,8.39708764240268,8.38372878524827,8.39267355075654,8.4486596759362,8.42910881747381,8.43718038989967,8.42071864642054,8.39617371000219,8.432991161287,8.25524702144971,8.34337414589001,8.32939012700695,8.34068788827921,8.38387811211744,8.32695985722868,8.3342998675921,8.24824516685493,8.35609308733715,8.36140327920729
Or47a,VNC,2.44166979367034,2.84399291140498,2.54441678095479,2.19636351226949,2.83273749911324,3.36024587685301,2.94653857141926,2.99699791736351,2.91724656279217,2.71951250260108,0,1.62392191182717,1.70888591406504,2.71744984880168,1.99843116709631,2.60585019872874,2.50470684749382,1.18100082734392,2.09084178785666,2.24378529412151
