gene_names,Hox_3,Hox_7,Hox_8,Hox_10,Hox_9,Hox_4,Hox_5,Hox_6,Hox_1,Hox_2,No_hox_9,No_hox_5,No_hox_2,No_hox_3,No_hox_8,No_hox_4,No_hox_6,No_hox_10,No_hox_1,No_hox_7
CG13287,4.503077282126101,4.73417988667363,4.266740670488451,4.689229269287931,4.653558832882036,4.6975681501123425,4.579575858697304,4.546627718009358,4.682440503736563,4.685629876808978,4.377801554312961,4.336301639590515,4.523896284265132,4.593306107469764,4.478383252184454,4.608923095207001,4.1679425760076345,4.344240774267731,4.083296480008464,4.589209397046761
FoxL1,4.433016019960992,4.359049998566966,4.568768939316287,4.35228879803642,4.327790837876172,4.484974848615861,4.423242181940179,4.440851984130067,4.293998925880771,4.180936691783264,4.476688780980981,3.9232514649593857,3.7708249681126844,3.658273936531617,4.115691010344723,4.445629896441403,4.1679425760076345,4.25584487815795,4.250558946872568,4.444208988063253
NfI,4.025113338027458,4.073658334116896,3.990201711555231,3.941635700014954,3.889272673339937,4.005211335147704,4.01831597812245,3.9672876004831,4.133885963794573,3.9513359271263075,3.9655975285675122,3.2069976524945534,4.064940127167641,2.807133166167749,3.1497965179574954,3.7387786947392265,3.418395949272959,3.7442040449545764,3.2932122464740625,3.465616771613195
slou,4.22253122161721,4.388178776005297,4.329993550016926,4.254779971053255,4.533706479164286,4.092784226050577,4.276521632870569,4.181487685209836,4.393662944041555,4.4699255920978285,4.268051644517536,4.043569254082328,4.262485212650526,3.5365418297729097,3.8690270839582572,4.495067972028766,3.7346753043158945,4.051472732749611,4.0462040890803745,3.991505353094189
TC009296,5.574865231068508,5.586309074471541,5.637497155282049,5.725942318316043,5.633319943389608,5.713199629943614,5.596517551131112,5.679018469421435,5.60900973327243,5.622589980704762,5.559753906007926,5.377582248674264,5.534868265517329,5.556405882129563,5.4520923725771615,5.6640926492763715,5.619556236994722,5.452948051492598,5.70826207018925,5.424198060499052
TC005946,4.289165786257794,4.2531400243288715,4.509093752815636,4.638201631009746,4.452108967976771,4.54007419060561,4.331853127108403,4.334439134581381,4.293998925880771,4.519877274010135,4.004088871716141,4.150952956669781,4.135214664690089,3.658273936531617,3.914597618399303,3.8821337441624992,4.591522116191304,3.7943139169021896,4.280898504221602,4.243258932911018
TC008064,5.445684910970262,5.275942237265677,5.347130148988749,5.371502205159842,5.324316707766274,5.330240488839904,5.500902951044666,5.341447891854318,5.472687894992839,5.569442077120901,4.862478738485698,5.008591609151708,5.234470946097599,5.081839527142136,5.215570317484913,5.093910190875619,5.156643851592225,5.138419418744719,5.4841550708504805,5.45305962943367
Hexim,5.919639292126572,5.924184387613741,5.973662252978434,5.988232723645993,5.96245314906784,5.99627593028707,5.976790296925332,5.985688968161983,5.978406356500856,5.965633042468112,5.714492909672441,5.923752707652759,6.027204934564762,5.864383420363446,5.796879157789075,5.750190191103885,5.928743697466435,5.866260165498883,5.885236034290113,6.033648473686805
TC003570,6.6577576986993865,6.747964321332339,6.699928893967247,6.696410999324359,6.672360655896218,6.634433045560838,6.579879166881573,6.553905794340544,6.685065899097578,6.578613836354311,6.399128329317054,6.698604920302673,6.6746319894402975,6.494191058869424,6.557398153687451,6.44518188458778,6.397748644215304,6.390633066811076,6.5402303794483885,6.536051069209984
Axud1,5.193285149921588,5.3400133811780055,5.016535145447537,5.241919779625151,5.109574806074939,5.088790848305457,5.096549739050703,5.081596551525609,5.161473158144836,5.141757023195007,4.954169652631395,5.0780987238890445,5.048688105754811,4.884077886907627,4.937735965778688,4.996561023168848,4.870880271674407,4.877813693816415,5.275402880623507,5.104957069639005
