gene_name,prediction,score,Pfam,PANTHER,SUPERFAMILY
fd19B,True,0.6787,Forkhead domain,FORKHEAD BOX PROTEIN G1,"""Winged helix"" DNA-binding domain"
ac,True,0.9991,Helix-loop-helix DNA-binding domain,ACHAETE-SCUTE TRANSCRIPTION FACTOR-RELATED,"HLH, helix-loop-helix DNA-binding domain"
sc,True,0.9878,Helix-loop-helix DNA-binding domain,ACHAETE-SCUTE TRANSCRIPTION FACTOR-RELATED,"HLH, helix-loop-helix DNA-binding domain"
l(1)sc,True,0.9971,Helix-loop-helix DNA-binding domain,"BASIC HELIX-LOOP-HELIX TRANSCRIPTION FACTOR, TWIST","HLH, helix-loop-helix DNA-binding domain"
ase,True,0.9666,Helix-loop-helix DNA-binding domain,ACHAETE-SCUTE TRANSCRIPTION FACTOR-RELATED,"HLH, helix-loop-helix DNA-binding domain"
Hinfp,True,0.8529,"Zinc finger, C2H2 type",HISTONE H4 TRANSCRIPTION FACTOR-RELATED,beta-beta-alpha zinc fingers
spdi,True,0.7725,Calponin homology (CH) domain,CALPONIN HOMOLOGY DOMAIN-CONTAINING PROTEIN DDB_G0272472-RELATED,"Calponin-homology domain, CH-domain"
Atf3,True,0.9945,bZIP transcription factor,FOS TRANSCRIPTION FACTOR-RELATED,Leucine zipper domain
CG11398,True,0.8727,"Zinc finger, C2H2 type",TRANSCRIPTIONAL REPRESSOR CTCFL-RELATED,beta-beta-alpha zinc fingers
a6,True,0.742,N/A,N/A,N/A
mip130,True,0.9682,LIN9 C-terminal,LIN-9,N/A
usp,True,0.9948,Ligand-binding domain of nuclear hormone receptor,NUCLEAR HORMONE RECEPTOR,Glucocorticoid receptor-like (DNA-binding domain)
CG2865,True,0.5126,SERTA motif,N/A,N/A
gt,True,0.9973,Basic region leucine zipper,THYROTROPH EMBRYONIC FACTOR RELATED,Leucine zipper domain
CG32797,True,0.8442,N/A,PROLINE-RICH NUCLEAR RECEPTOR COACTIVATOR,N/A
Lint-O,True,0.875,N/A,POLYCOMB GROUP PROTEIN,FYVE/PHD zinc finger
fs(1)Ya,True,0.9639,N/A,N/A,N/A
dwg,True,0.9987,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
CG2712,True,0.9784,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
crm,True,0.9918,N/A,CRAMPED PROTEIN,N/A
HLH3B,True,0.944,Helix-loop-helix DNA-binding domain,T-CELL ACUTE LYMPHOCYTIC LEUKEMIA/STEM CELL LEUKEMIA-RELATED,"HLH, helix-loop-helix DNA-binding domain"
CG3526,True,0.8426,"Zinc finger, ZZ type",E3 UBIQUITIN-PROTEIN LIGASE KCMF1,RING/U-box
CG14421,True,0.6358,N/A,N/A,N/A
CG14423,True,0.9456,N/A,N/A,N/A
Xpac,True,0.7658,XPA protein N-terminal,DNA REPAIR PROTEIN COMPLEMENTING XP-A CELLS,Glucocorticoid receptor-like (DNA-binding domain)
bi,True,0.9993,T-box,T-BOX PROTEIN-RELATED,p53-like transcription factors
CG3546,True,0.8859,N/A,CREB/ATF BZIP TRANSCRIPTION FACTOR,N/A
Usf,True,0.9924,Helix-loop-helix DNA-binding domain,FI24210P1,"HLH, helix-loop-helix DNA-binding domain"
CG32772,True,0.9045,"Zinc finger, C2H2 type",PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Klf15,True,0.9559,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
CG12236,True,0.8313,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
CG3726,True,0.8822,BTB/POZ domain,BTB DOMAIN TRANSCRIPTION FACTOR,POZ domain
CG3847,True,0.9737,zinc-finger C2H2-type,ZINC FINGER PROTEIN 142,beta-beta-alpha zinc fingers
CG3918,True,0.9307,Zinc knuckle,SREK1IP1 FAMILY MEMBER,N/A
CG12219,True,0.9913,Zinc-finger associated domain (zf-AD),ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
MED15,True,0.8319,ARC105/Med15 mediator subunit N-terminal KIX domain,MEDIATOR OF RNA POLYMERASE II TRANSCRIPTION SUBUNIT 15,Kix domain of CBP (creb binding protein)
Pph13,True,0.9978,Homeodomain,HOMEOBOX PROTEIN ARISTALESS,Homeodomain-like
Gsc,True,0.9981,Homeodomain,HOMEOBOX PROTEIN GOOSECOID-RELATED,Homeodomain-like
Ets21C,True,0.9998,Sterile alpha motif (SAM)/Pointed domain,ETS,SAM/Pointed domain
cbt,True,0.964,"Zinc finger, C2H2 type",KRUEPPEL-LIKE TRANSCRIPTION FACTOR,beta-beta-alpha zinc fingers
CG11617,True,0.978,Homeobox KN domain,IROQUOIS-CLASS HOMEODOMAIN PROTEIN IRX,Homeodomain-like
net,True,0.8893,Helix-loop-helix DNA-binding domain,BASIC HELIX-LOOP-HELIX PROTEIN NEUROGENIN-RELATED,"HLH, helix-loop-helix DNA-binding domain"
knrl,True,0.9913,"Double treble clef zinc finger, C4 type",KNIRPS-RELATED PROTEIN-RELATED,Glucocorticoid receptor-like (DNA-binding domain)
Pitslre,True,0.7068,Protein kinase domain,CELL DIVISION PROTEIN KINASE,Protein kinase-like (PK-like)
CG11456,True,0.8996,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
Six4,True,0.9976,Homeodomain,HOMEOBOX PROTEIN SIX,Homeodomain-like
kni,True,0.9836,"Double treble clef zinc finger, C4 type",KNIRPS-RELATED PROTEIN-RELATED,Glucocorticoid receptor-like (DNA-binding domain)
Eip78C,True,0.8995,Ligand-binding domain of nuclear hormone receptor,NUCLEAR HORMONE RECEPTOR HR3-RELATED,Glucocorticoid receptor-like (DNA-binding domain)
Aef1,True,0.9951,"Zinc finger, C2H2 type",ZINC FINGER PROTEIN 200,beta-beta-alpha zinc fingers
Hr78,True,0.9916,"Double treble clef zinc finger, C4 type",NUCLEAR HORMONE RECEPTOR,Glucocorticoid receptor-like (DNA-binding domain)
Neu2,True,0.9823,Zinc-finger associated domain (zf-AD),PR DOMAIN ZINC FINGER PROTEIN,beta-beta-alpha zinc fingers
croc,True,0.9834,Forkhead domain,FORKHEAD BOX PROTEIN,"""Winged helix"" DNA-binding domain"
ebd2,True,0.6576,CENP-B N-terminal DNA-binding domain,N/A,Homeodomain-like
Pc,True,0.9069,Chromo (CHRromatin Organisation MOdifier) domain,POLYCOMB GROUP PROTEIN PC,Chromo domain-like
CG11307,True,0.8141,Domain of unknown function (DUF4745),N/A,N/A
eg,True,0.9634,"Double treble clef zinc finger, C4 type",KNIRPS-RELATED PROTEIN-RELATED,Glucocorticoid receptor-like (DNA-binding domain)
CG11247,True,0.9883,N/A,N/A,N/A
CG32452,True,0.9256,N/A,N/A,N/A
Nsun6,True,0.502,16S rRNA methyltransferase RsmB/F,NOP2 YEAST -RELATED NOL1/NOP2/FMU SUN  DOMAIN-CONTAINING,S-adenosyl-L-methionine-dependent methyltransferases
CG12768,True,0.7702,Alcohol dehydrogenase transcription factor Myb/SANT-like,MADF DOMAIN TRANSCRIPTION FACTOR,N/A
